  t   A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Z
 22   0   0   0 146   1  82  37 148  70   4  42   2   2 270   1   1   1   1  42  85  21   1   1   1   1  39
 23   0   0   0 145   1  79  33 149  73   4  44   2   2 271   1   1   1   1  38  89  21   1   1   1   1  40
 24   0   0   0 144   1  76  29 150  76   4  46   2   2 272   1   1   1   1  34  93  21   1   1   1   1  41
 25   0   0   0 143   1  73  25 151  79   4  48   2   2 273   1   1   1   1  30  97  21   1   1   1   1  42
 26   0   0   0 142   1  70  21 152  82   4  50   2   2 274   1   1   1   1  26 101  21   1   1   1   1  43
 27   0   0   0 141   1  67  17 153  85   4  52   2   2 275   1   1   1   1  22 105  21   1   1   1   1  44
 28   0   0   0 140   1  64  13 154  88   4  54   2   2 276   1   1   1   1  18 109  21   1   1   1   1  45
 29   0   0   0 139   1  61   9 155  91   4  56   2   2 277   1   1   1   1  14 113  21   1   1   1   1  46
 30   0   0   0 138   1  58   5 156  94   4  58   2   2 278   1   1   1   1  10 117  21   1   1   1   1  47
 31   0   0   0 137   1  55   4 154  97   4  60   2   2 279   1   1   1   1   6 121  21   1   1   1   1  48
 32   0   0   0 136   1  52   4 151 100   4  62   2   2 280   1   1   1   1   2 125  21   1   1   1   1  49
 33   0   0   0 135   1  49   4 148 103   4  64   2   2 281   1   1   1   1   1 126  21   1   1   1   1  50
 34   0   0   0 134   1  46   4 145 106   4  66   2   2 282   1   1   1   1   1 126  21   1   1   1   1  51
 35   0   0   0 133   1  43   4 142 109   4  68   2   2 283   1   1   1   1   1 126  21   1   1   1   1  52
 36   0   0   0 132   1  40   4 139 112   4  70   2   2 284   1   1   1   1   1 126  21   1   1   1   1  53
 37   0   0   0 131   1  37   4 136 115   4  72   2   2 285   1   1   1   1   1 126  21   1   1   1   1  54
 38   0   0   0 130   1  34   4 133 118   4  74   2   2 286   1   1   1   1   1 126  21   1   1   1   1  55
 39   0   0   0 129   1  31   4 130 121   4  76   2   2 287   1   1   1   1   1 126  21   1   1   1   1  56
 40   0   0   0 128   1  28   4 127 124   4  78   2   2 288   1   1   1   1   1 126  21   1   1   1   1  57
 41   0   0   0 127   1  25   4 124 127   4  80   2   2 289   1   1   1   1   1 126  21   1   1   1   1  58
 42   0   0   0 126   1  22   4 121 130   4  82   2   2 290   1   1   1   1   1 126  21   1   1   1   1  59
 43   0   0   0 125   1  19   4 118 133   4  84   2   2 291   1   1   1   1   1 126  21   1   1   1   1  60
 44   0   0   0 124   1  16   4 115 136   4  86   2   2 292   1   1   1   1   1 126  21   1   1   1   1  61
 45   0   0   0 123   1  13   4 112 139   4  88   2   2 293   1   1   1   1   1 126  21   1   1   1   1  62
 46   0   0   0 122   1  10   4 109 142   4  90   2   2 294   1   1   1   1   1 126  21   1   1   1   1  63
 47   0   0   0 121   1   7   4 106 145   4  92   2   2 295   1   1   1   1   1 126  21   1   1   1   1  64
 48   0   0   0 120   1   4   4 103 148   4  94   2   2 296   1   1   1   1   1 126  21   1   1   1   1  65
 49   0   0   0 119   1   1   4 100 151   4  96   2   2 297   1   1   1   1   1 126  21   1   1   1   1  66
 50   0   0   0 118   1   1   1  97 154   4  98   2   2 298   1   1   1   1   1 126  21   1   1   1   1  67
 51   0   0   0 117   1   1   1  91 157   4 100   2   2 299   1   1   1   1   1 126  21   1   1   1   1  68
 52   0   0   0 116   1   1   1  85 160   4 102   2   2 300   1   1   1   1   1 126  21   1   1   1   1  69
 53   0   0   0 115   1   1   1  79 163   4 104   2   2 301   1   1   1   1   1 126  21   1   1   1   1  70
 54   0   0   0 114   1   1   1  73 166   4 106   2   2 302   1   1   1   1   1 126  21   1   1   1   1  71
 55   0   0   0 113   1   1   1  67 169   4 108   2   2 303   1   1   1   1   1 126  21   1   1   1   1  72
 56   0   0   0 112   1   1   1  61 172   4 110   2   2 304   1   1   1   1   1 126  21   1   1   1   1  73
 57   0   0   0 111   1   1   1  55 175   4 112   2   2 305   1   1   1   1   1 126  21   1   1   1   1  74
 58   0   0   0 110   1   1   1  49 178   4 114   2   2 306   1   1   1   1   1 126  21   1   1   1   1  75
 59   0   0   0 109   1   1   1  43 181   4 116   2   2 307   1   1   1   1   1 126  21   1   1   1   1  76
 60   0   0   0 108   1   1   1  37 184   4 118   2   2 308   1   1   1   1   1 126  21   1   1   1   1  77
 61   0   0   0 107   1   1   1  31 187   4 120   2   2 309   1   1   1   1   1 126  21   1   1   1   1  78
 62   0   0   0 106   1   1   1  25 190   4 122   2   2 310   1   1   1   1   1 126  21   1   1   1   1  79
 63   0   0   0 105   1   1   1  19 193   4 124   2   2 311   1   1   1   1   1 126  21   1   1   1   1  80
 64   0   0   0 104   1   1   1  13 196   4 126   2   2 312   1   1   1   1   1 126  21   1   1   1   1  81
 65   0   0   0 103   1   1   1   7 199   4 128   2   2 313   1   1   1   1   1 126  21   1   1   1   1  82
 66   0   0   0 102   1   1   1   1 202   4 130   2   2 314   1   1   1   1   1 126  21   1   1   1   1  83
 67   0   0   0 101   1   1   1   1 199   4 132   2   2 315   1   1   1   1   1 126  21   1   1   1   1  84
 68   0   0   0 100   1   1   1   1 196   4 134   2   2 316   1   1   1   1   1 126  21   1   1   1   1  85
 69   0   0   0  99   1   1   1   1 193   4 136   2   2 317   1   1   1   1   1 126  21   1   1   1   1  86
 70   0   0   0  98   1   1   1   1 190   4 138   2   2 318   1   1   1   1   1 126  21   1   1   1   1  87
 71   0   0   0  97   1   1   1   1 187   4 140   2   2 319   1   1   1   1   1 126  21   1   1   1   1  88
 72   0   0   0  96   1   1   1   1 184   4 142   2   2 320   1   1   1   1   1 126  21   1   1   1   1  89
 73   0   0   0  95   1   1   1   1 181   4 144   2   2 321   1   1   1   1   1 126  21   1   1   1   1  90
 74   0   0   0  94   1   1   1   1 178   4 146   2   2 322   1   1   1   1   1 126  21   1   1   1   1  91
 75   0   0   0  93   1   1   1   1 175   4 148   2   2 323   1   1   1   1   1 126  21   1   1   1   1  92
 76   0   0   0  92   1   1   1   1 172   4 150   2   2 324   1   1   1   1   1 126  21   1   1   1   1  93
 77   0   0   0  91   1   1   1   1 169   4 152   2   2 325   1   1   1   1   1 126  21   1   1   1   1  94
 78   0   0   0  90   1   1   1   1 166   4 154   2   2 326   1   1   1   1   1 126  21   1   1   1   1  95
 79   0   0   0  89   1   1   1   1 163   4 156   2   2 327   1   1   1   1   1 126  21   1   1   1   1  96
 80   0   0   0  88   1   1   1   1 160   4 158   2   2 328   1   1   1   1   1 126  21   1   1   1   1  97
 81   0   0   0  87   1   1   1   1 157   4 160   2   2 329   1   1   1   1   1 126  21   1   1   1   1  98
 82   0   0   0  86   1   1   1   1 154   4 162   2   2 330   1   1   1   1   1 126  21   1   1   1   1  99
 83   0   0   0  85   1   1   1   1 151   4 164   2   2 331   1   1   1   1   1 126  21   1   1   1   1 100
 84   0   0   0  84   1   1   1   1 148   4 166   2   2 332   1   1   1   1   1 126  21   1   1   1   1 101
 85   0   0   0  83   1   1   1   1 145   4 168   2   2 333   1   1   1   1   1 126  21   1   1   1   1 102
 86   0   0   0  82   1   1   1   1 142   4 170   2   2 334   1   1   1   1   1 126  21   1   1   1   1 103
 87   0   0   0  81   1   1   1   1 139   4 172   2   2 335   1   1   1   1   1 126  21   1   1   1   1 104
 88   0   0   0  80   1   1   1   1 136   4 174   2   2 336   1   1   1   1   1 126  21   1   1   1   1 105
 89   0   0   0  79   1   1   1   1 133   4 176   2   2 337   1   1   1   1   1 126  21   1   1   1   1 106
 90   0   0   0  78   1   1   1   1 130   4 178   2   2 338   1   1   1   1   1 126  21   1   1   1   1 107
 91   0   0   0  77   1   1   1   1 127   4 180   2   2 339   1   1   1   1   1 126  21   1   1   1   1 108
 92   0   0   0  76   1   1   1   1 124   4 182   2   2 340   1   1   1   1   1 126  21   1   1   1   1 109
 93   0   0   0  75   1   1   1   1 121   4 184   2   2 341   1   1   1   1   1 126  21   1   1   1   1 110
 94   0   0   0  74   1   1   1   1 118   4 186   2   2 342   1   1   1   1   1 126  21   1   1   1   1 111
 95   0   0   0  73   1   1   1   1 115   4 188   2   2 343   1   1   1   1   1 126  21   1   1   1   1 112
 96   0   0   0  72   1   1   1   1 112   4 190   2   2 344   1   1   1   1   1 126  21   1   1   1   1 113
 97   0   0   0  71   1   1   1   1 109   4 192   2   2 345   1   1   1   1   1 126  21   1   1   1   1 114
 98   0   0   0  70   1   1   1   1 106   4 194   2   2 346   1   1   1   1   1 126  21   1   1   1   1 115
 99   0   0   0  69   1   1   1   1 103   4 196   2   2 347   1   1   1   1   1 126  21   1   1   1   1 116
100   0   0   0  68   1   1   1   1 100   4 198   2   2 348   1   1   1   1   1 126  21   1   1   1   1 117
101   0   0   0  67   1   1   1   1  97   4 200   2   2 349   1   1   1   1   1 126  21   1   1   1   1 118
102   0   0   0  66   1   1   1   1  94   4 202   2   2 350   1   1   1   1   1 126  21   1   1   1   1 119
103   0   0   0  65   1   1   1   1  91   4 204   2   2 351   1   1   1   1   1 126  21   1   1   1   1 120
104   0   0   0  64   1   1   1   1  88   4 206   2   2 352   1   1   1   1   1 126  21   1   1   1   1 121
105   0   0   0  63   1   1   1   1  85   4 208   2   2 353   1   1   1   1   1 126  21   1   1   1   1 122
106   0   0   0  62   1   1   1   1  82   4 210   2   2 354   1   1   1   1   1 126  21   1   1   1   1 123
107   0   0   0  61   1   1   1   1  79   4 212   2   2 355   1   1   1   1   1 126  21   1   1   1   1 124
108   0   0   0  60   1   1   1   1  76   4 214   2   2 356   1   1   1   1   1 126  21   1   1   1   1 125
109   0   0   0  59   1   1   1   1  73   4 216   2   2 357   1   1   1   1   1 126  21   1   1   1   1 126
110   0   0   0  58   1   1   1   1  70   4 218   2   2 358   1   1   1   1   1 126  21   1   1   1   1 127
111   0   0   0  57   1   1   1   1  67   4 220   2   2 359   1   1   1   1   1 126  21   1   1   1   1 128
112   0   0   0  56   1   1   1   1  64   4 222   2   2 360   1   1   1   1   1 126  21   1   1   1   1 129
113   0   0   0  55   1   1   1   1  61   4 224   2   2 361   1   1   1   1   1 126  21   1   1   1   1 130
114   0   0   0  54   1   1   1   1  58   4 226   2   2 362   1   1   1   1   1 126  21   1   1   1   1 131
115   0   0   0  53   1   1   1   1  55   4 228   2   2 363   1   1   1   1   1 126  21   1   1   1   1 132
116   0   0   0  52   1   1   1   1  52   4 230   2   2 364   1   1   1   1   1 126  21   1   1   1   1 133
117   0   0   0  51   1   1   1   1  49   4 232   2   2 365   1   1   1   1   1 126  21   1   1   1   1 134
118   0   0   0  50   1   1   1   1  46   4 234   2   2 366   1   1   1   1   1 126  21   1   1   1   1 135
119   0   0   0  49   1   1   1   1  43   4 236   2   2 367   1   1   1   1   1 126  21   1   1   1   1 136
120   0   0   0  48   1   1   1   1  40   4 238   2   2 368   1   1   1   1   1 126  21   1   1   1   1 137
121   0   0   0  47   1   1   1   1  37   4 240   2   2 369   1   1   1   1   1 126  21   1   1   1   1 138
122   0   0   0  46   1   1   1   1  34   4 242   2   2 370   1   1   1   1   1 126  21   1   1   1   1 139
123   0   0   0  45   1   1   1   1  31   4 244   2   2 371   1   1   1   1   1 126  21   1   1   1   1 140
124   0   0   0  44   1   1   1   1  28   4 246   2   2 372   1   1   1   1   1 126  21   1   1   1   1 141
125   0   0   0  43   1   1   1   1  25   4 248   2   2 373   1   1   1   1   1 126  21   1   1   1   1 142
126   0   0   0  42   1   1   1   1  22   4 250   2   2 374   1   1   1   1   1 126  21   1   1   1   1 143
127   0   0   0  41   1   1   1   1  19   4 252   2   2 375   1   1   1   1   1 126  21   1   1   1   1 144
128   0   0   0  40   1   1   1   1  16   4 254   2   2 376   1   1   1   1   1 126  21   1   1   1   1 145
129   0   0   0  39   1   1   1   1  13   4 256   2   2 377   1   1   1   1   1 126  21   1   1   1   1 146
130   0   0   0  38   1   1   1   1  10   4 258   2   2 378   1   1   1   1   1 126  21   1   1   1   1 147
131   0   0   0  37   1   1   1   1   7   4 260   2   2 379   1   1   1   1   1 126  21   1   1   1   1 148
132   0   0   0  36   1   1   1   1   4   4 262   2   2 380   1   1   1   1   1 126  21   1   1   1   1 149
133   0   0   0  35   1   1   1   1   1   4 264   2   2 381   1   1   1   1   1 126  21   1   1   1   1 150
134   0   0   0  34   1   1   1   1   1   1 266   2   2 382   1   1   1   1   1 126  21   1   1   1   1 151
135   0   0   0  33   1   1   1   1   1   1 265   2   2 383   1   1   1   1   1 126  21   1   1   1   1 152
136   0   0   0  32   1   1   1   1   1   1 264   2   2 384   1   1   1   1   1 126  21   1   1   1   1 153
137   0   0   0  31   1   1   1   1   1   1 263   2   2 385   1   1   1   1   1 126  21   1   1   1   1 154
138   0   0   0  30   1   1   1   1   1   1 262   2   2 386   1   1   1   1   1 126  21   1   1   1   1 155
139   0   0   0  29   1   1   1   1   1   1 261   2   2 387   1   1   1   1   1 126  21   1   1   1   1 156
140   0   0   0  28   1   1   1   1   1   1 260   2   2 388   1   1   1   1   1 126  21   1   1   1   1 157
141   0   0   0  27   1   1   1   1   1   1 259   2   2 389   1   1   1   1   1 126  21   1   1   1   1 158
142   0   0   0  26   1   1   1   1   1   1 258   2   2 390   1   1   1   1   1 126  21   1   1   1   1 159
143   0   0   0  25   1   1   1   1   1   1 257   2   2 391   1   1   1   1   1 126  21   1   1   1   1 160
144   0   0   0  24   1   1   1   1   1   1 256   2   2 392   1   1   1   1   1 126  21   1   1   1   1 161
145   0   0   0  23   1   1   1   1   1   1 255   2   2 393   1   1   1   1   1 126  21   1   1   1   1 162
146   0   0   0  22   1   1   1   1   1   1 254   2   2 394   1   1   1   1   1 126  21   1   1   1   1 163
147   0   0   0  21   1   1   1   1   1   1 253   2   2 395   1   1   1   1   1 126  21   1   1   1   1 164
148   0   0   0  20   1   1   1   1   1   1 252   2   2 396   1   1   1   1   1 126  21   1   1   1   1 165
149   0   0   0  19   1   1   1   1   1   1 251   2   2 397   1   1   1   1   1 126  21   1   1   1   1 166
150   0   0   0  18   1   1   1   1   1   1 250   2   2 398   1   1   1   1   1 126  21   1   1   1   1 167
151   0   0   0  17   1   1   1   1   1   1 249   2   2 399   1   1   1   1   1 126  21   1   1   1   1 168
152   0   0   0  16   1   1   1   1   1   1 248   2   2 400   1   1   1   1   1 126  21   1   1   1   1 169
153   0   0   0  15   1   1   1   1   1   1 247   2   2 401   1   1   1   1   1 126  21   1   1   1   1 170
154   0   0   0  14   1   1   1   1   1   1 246   2   2 402   1   1   1   1   1 126  21   1   1   1   1 171
155   0   0   0  13   1   1   1   1   1   1 245   2   2 403   1   1   1   1   1 126  21   1   1   1   1 172
156   0   0   0  12   1   1   1   1   1   1 244   2   2 404   1   1   1   1   1 126  21   1   1   1   1 173
157   0   0   0  11   1   1   1   1   1   1 243   2   2 405   1   1   1   1   1 126  21   1   1   1   1 174
158   0   0   0  10   1   1   1   1   1   1 242   2   2 406   1   1   1   1   1 126  21   1   1   1   1 175
159   0   0   0   9   1   1   1   1   1   1 241   2   2 407   1   1   1   1   1 126  21   1   1   1   1 176
160   0   0   0   8   1   1   1   1   1   1 240   2   2 408   1   1   1   1   1 126  21   1   1   1   1 177
161   0   0   0   7   1   1   1   1   1   1 239   2   2 409   1   1   1   1   1 126  21   1   1   1   1 178
162   0   0   0   6   1   1   1   1   1   1 238   2   2 410   1   1   1   1   1 126  21   1   1   1   1 179
163   0   0   0   5   1   1   1   1   1   1 237   2   2 411   1   1   1   1   1 126  21   1   1   1   1 180
164   0   0   0   4   1   1   1   1   1   1 236   2   2 412   1   1   1   1   1 126  21   1   1   1   1 181
165   0   0   0   3   1   1   1   1   1   1 235   2   2 413   1   1   1   1   1 126  21   1   1   1   1 182
166   0   0   0   2   1   1   1   1   1   1 234   2   2 414   1   1   1   1   1 126  21   1   1   1   1 183
167   0   0   0   1   1   1   1   1   1   1 233   2   2 415   1   1   1   1   1 126  21   1   1   1   1 184
168   0   0   0   0   1   1   1   1   1   1 232   2   2 416   1   1   1   1   1 126  21   1   1   1   1 185
169   0   0   0   0   0   1   1   1   1   1 231   2   2 417   1   1   1   1   1 126  21   1   1   1   1 186
170   0   0   0   0   0   0   1   1   1   1 230   2   2 418   1   1   1   1   1 126  21   1   1   1   1 187
171   0   0   0   0   0   0   0   1   1   1 229   2   2 419   1   1   1   1   1 126  21   1   1   1   1 188
172   0   0   0   0   0   0   0   0   1   1 228   2   2 420   1   1   1   1   1 126  21   1   1   1   1 189
173   0   0   0   0   0   0   0   0   0   1 227   2   2 421   1   1   1   1   1 126  21   1   1   1   1 190
174   0   0   0   0   0   0   0   0   0   0 226   2   2 422   1   1   1   1   1 126  21   1   1   1   1 191
175   0   0   0   0   0   0   0   0   0   0 224   2   2 423   1   1   1   1   1 126  21   1   1   1   1 192
176   0   0   0   0   0   0   0   0   0   0 222   2   2 424   1   1   1   1   1 126  21   1   1   1   1 193
177   0   0   0   0   0   0   0   0   0   0 220   2   2 425   1   1   1   1   1 126  21   1   1   1   1 194
178   0   0   0   0   0   0   0   0   0   0 218   2   2 426   1   1   1   1   1 126  21   1   1   1   1 195
179   0   0   0   0   0   0   0   0   0   0 216   2   2 427   1   1   1   1   1 126  21   1   1   1   1 196
180   0   0   0   0   0   0   0   0   0   0 214   2   2 428   1   1   1   1   1 126  21   1   1   1   1 197
181   0   0   0   0   0   0   0   0   0   0 212   2   2 429   1   1   1   1   1 126  21   1   1   1   1 198
182   0   0   0   0   0   0   0   0   0   0 210   2   2 430   1   1   1   1   1 126  21   1   1   1   1 199
183   0   0   0   0   0   0   0   0   0   0 208   2   2 431   1   1   1   1   1 126  21   1   1   1   1 200
184   0   0   0   0   0   0   0   0   0   0 206   2   2 432   1   1   1   1   1 126  21   1   1   1   1 201
185   0   0   0   0   0   0   0   0   0   0 204   2   2 433   1   1   1   1   1 126  21   1   1   1   1 202
186   0   0   0   0   0   0   0   0   0   0 202   2   2 434   1   1   1   1   1 126  21   1   1   1   1 203
187   0   0   0   0   0   0   0   0   0   0 200   2   2 435   1   1   1   1   1 126  21   1   1   1   1 204
188   0   0   0   0   0   0   0   0   0   0 198   2   2 436   1   1   1   1   1 126  21   1   1   1   1 205
189   0   0   0   0   0   0   0   0   0   0 196   2   2 437   1   1   1   1   1 126  21   1   1   1   1 206
190   0   0   0   0   0   0   0   0   0   0 194   2   2 438   1   1   1   1   1 126  21   1   1   1   1 207
191   0   0   0   0   0   0   0   0   0   0 192   2   2 439   1   1   1   1   1 126  21   1   1   1   1 208
192   0   0   0   0   0   0   0   0   0   0 190   2   2 440   1   1   1   1   1 126  21   1   1   1   1 209
193   0   0   0   0   0   0   0   0   0   0 188   2   2 441   1   1   1   1   1 126  21   1   1   1   1 210
194   0   0   0   0   0   0   0   0   0   0 186   2   2 442   1   1   1   1   1 126  21   1   1   1   1 211
195   0   0   0   0   0   0   0   0   0   0 184   2   2 443   1   1   1   1   1 126  21   1   1   1   1 212
196   0   0   0   0   0   0   0   0   0   0 182   2   2 444   1   1   1   1   1 126  21   1   1   1   1 213
197   0   0   0   0   0   0   0   0   0   0 180   2   2 445   1   1   1   1   1 126  21   1   1   1   1 214
198   0   0   0   0   0   0   0   0   0   0 178   2   2 446   1   1   1   1   1 126  21   1   1   1   1 215
199   0   0   0   0   0   0   0   0   0   0 176   2   2 447   1   1   1   1   1 126  21   1   1   1   1 216
200   0   0   0   0   0   0   0   0   0   0 174   2   2 448   1   1   1   1   1 126  21   1   1   1   1 217
201   0   0   0   0   0   0   0   0   0   0 172   2   2 449   1   1   1   1   1 126  21   1   1   1   1 218
202   0   0   0   0   0   0   0   0   0   0 170   2   2 450   1   1   1   1   1 126  21   1   1   1   1 219
203   0   0   0   0   0   0   0   0   0   0 168   2   2 451   1   1   1   1   1 126  21   1   1   1   1 220
204   0   0   0   0   0   0   0   0   0   0 166   2   2 452   1   1   1   1   1 126  21   1   1   1   1 221
205   0   0   0   0   0   0   0   0   0   0 164   2   2 453   1   1   1   1   1 126  21   1   1   1   1 222
206   0   0   0   0   0   0   0   0   0   0 162   2   2 454   1   1   1   1   1 126  21   1   1   1   1 223
207   0   0   0   0   0   0   0   0   0   0 160   2   2 455   1   1   1   1   1 126  21   1   1   1   1 224
208   0   0   0   0   0   0   0   0   0   0 158   2   2 456   1   1   1   1   1 126  21   1   1   1   1 225
209   0   0   0   0   0   0   0   0   0   0 156   2   2 457   1   1   1   1   1 126  21   1   1   1   1 226
210   0   0   0   0   0   0   0   0   0   0 154   2   2 458   1   1   1   1   1 126  21   1   1   1   1 227
211   0   0   0   0   0   0   0   0   0   0 152   2   2 459   1   1   1   1   1 126  21   1   1   1   1 228
212   0   0   0   0   0   0   0   0   0   0 150   2   2 460   1   1   1   1   1 126  21   1   1   1   1 229
213   0   0   0   0   0   0   0   0   0   0 148   2   2 461   1   1   1   1   1 126  21   1   1   1   1 230
214   0   0   0   0   0   0   0   0   0   0 146   2   2 462   1   1   1   1   1 126  21   1   1   1   1 231
215   0   0   0   0   0   0   0   0   0   0 144   2   2 463   1   1   1   1   1 126  21   1   1   1   1 232
216   0   0   0   0   0   0   0   0   0   0 142   2   2 464   1   1   1   1   1 126  21   1   1   1   1 233
217   0   0   0   0   0   0   0   0   0   0 140   2   2 465   1   1   1   1   1 126  21   1   1   1   1 234
218   0   0   0   0   0   0   0   0   0   0 138   2   2 466   1   1   1   1   1 126  21   1   1   1   1 235
219   0   0   0   0   0   0   0   0   0   0 136   2   2 467   1   1   1   1   1 126  21   1   1   1   1 236
220   0   0   0   0   0   0   0   0   0   0 134   2   2 468   1   1   1   1   1 126  21   1   1   1   1 237
221   0   0   0   0   0   0   0   0   0   0 132   2   2 469   1   1   1   1   1 126  21   1   1   1   1 238
222   0   0   0   0   0   0   0   0   0   0 130   2   2 470   1   1   1   1   1 126  21   1   1   1   1 239
223   0   0   0   0   0   0   0   0   0   0 128   2   2 471   1   1   1   1   1 126  21   1   1   1   1 240
224   0   0   0   0   0   0   0   0   0   0 126   2   2 472   1   1   1   1   1 126  21   1   1   1   1 241
225   0   0   0   0   0   0   0   0   0   0 124   2   2 473   1   1   1   1   1 126  21   1   1   1   1 242
226   0   0   0   0   0   0   0   0   0   0 122   2   2 474   1   1   1   1   1 126  21   1   1   1   1 243
227   0   0   0   0   0   0   0   0   0   0 120   2   2 475   1   1   1   1   1 126  21   1   1   1   1 244
228   0   0   0   0   0   0   0   0   0   0 118   2   2 476   1   1   1   1   1 126  21   1   1   1   1 245
229   0   0   0   0   0   0   0   0   0   0 116   2   2 477   1   1   1   1   1 126  21   1   1   1   1 246
230   0   0   0   0   0   0   0   0   0   0 114   2   2 478   1   1   1   1   1 126  21   1   1   1   1 247
231   0   0   0   0   0   0   0   0   0   0 112   2   2 479   1   1   1   1   1 126  21   1   1   1   1 248
232   0   0   0   0   0   0   0   0   0   0 110   2   2 480   1   1   1   1   1 126  21   1   1   1   1 249
233   0   0   0   0   0   0   0   0   0   0 108   2   2 481   1   1   1   1   1 126  21   1   1   1   1 250
234   0   0   0   0   0   0   0   0   0   0 106   2   2 482   1   1   1   1   1 126  21   1   1   1   1 251
235   0   0   0   0   0   0   0   0   0   0 104   2   2 483   1   1   1   1   1 126  21   1   1   1   1 252
236   0   0   0   0   0   0   0   0   0   0 102   2   2 484   1   1   1   1   1 126  21   1   1   1   1 253
237   0   0   0   0   0   0   0   0   0   0 100   2   2 485   1   1   1   1   1 126  21   1   1   1   1 254
238   0   0   0   0   0   0   0   0   0   0  98   2   2 486   1   1   1   1   1 126  21   1   1   1   1 255
239   0   0   0   0   0   0   0   0   0   0  96   2   2 487   1   1   1   1   1 126  21   1   1   1   1 256
240   0   0   0   0   0   0   0   0   0   0  94   2   2 488   1   1   1   1   1 126  21   1   1   1   1 257
241   0   0   0   0   0   0   0   0   0   0  92   2   2 489   1   1   1   1   1 126  21   1   1   1   1 258
242   0   0   0   0   0   0   0   0   0   0  90   2   2 490   1   1   1   1   1 126  21   1   1   1   1 259
243   0   0   0   0   0   0   0   0   0   0  88   2   2 491   1   1   1   1   1 126  21   1   1   1   1 260
244   0   0   0   0   0   0   0   0   0   0  86   2   2 492   1   1   1   1   1 126  21   1   1   1   1 261
245   0   0   0   0   0   0   0   0   0   0  84   2   2 493   1   1   1   1   1 126  21   1   1   1   1 262
246   0   0   0   0   0   0   0   0   0   0  82   2   2 494   1   1   1   1   1 126  21   1   1   1   1 263
247   0   0   0   0   0   0   0   0   0   0  80   2   2 495   1   1   1   1   1 126  21   1   1   1   1 264
248   0   0   0   0   0   0   0   0   0   0  78   2   2 496   1   1   1   1   1 126  21   1   1   1   1 265
249   0   0   0   0   0   0   0   0   0   0  76   2   2 497   1   1   1   1   1 126  21   1   1   1   1 266
250   0   0   0   0   0   0   0   0   0   0  74   2   2 498   1   1   1   1   1 126  21   1   1   1   1 267
251   0   0   0   0   0   0   0   0   0   0  72   2   2 499   1   1   1   1   1 126  21   1   1   1   1 268
252   0   0   0   0   0   0   0   0   0   0  70   2   2 500   1   1   1   1   1 126  21   1   1   1   1 269
253   0   0   0   0   0   0   0   0   0   0  68   2   2 501   1   1   1   1   1 126  21   1   1   1   1 270
