8 160
4 8 2737
5 7 6052
5 7 7953
2 2 8307
4 3 2279
7 5 5421
1 7 4156
2 7 2622
10 2 8502
9 8 8451
8 2 4199
4 8 7445
7 2 3591
9 3 2494
7 9 5838
5 5 6402
7 5 5999
5 8 1297
6 7 7741
9 8 4758
9 5 6861
7 8 2838
3 4 7710
5 4 3504
10 10 4722
8 7 1526
1 3 3083
1 7 4922
8 4 5431
8 2 9808
7 1 4314
8 9 8981
5 4 8916
6 8 5719
10 8 400
1 7 8886
9 7 9301
3 10 9447
4 9 4651
4 6 9764
3 4 534
6 1 215
8 8 9898
3 5 9525
3 4 7942
5 7 3690
10 5 467
10 7 9678
9 2 9916
1 8 5273
4 10 506
10 8 8829
4 5 3078
1 10 962
5 4 2338
9 8 5574
8 10 4900
6 1 3398
3 9 5989
8 1 4456
10 5 4958
8 4 1807
6 9 3983
3 9 6754
6 5 5838
3 5 4337
6 3 1138
5 10 9189
2 5 639
3 2 140
10 4 7454
9 1 5819
5 8 9097
10 2 3537
3 7 2311
2 10 6066
1 7 8490
8 4 49
6 7 3125
5 1 8577
4 1 732
9 1 3744
9 8 2793
7 7 4604
3 9 2842
5 3 3493
2 3 2130
1 10 6355
2 6 3213
6 2 8694
4 7 3604
7 5 5604
2 5 6501
4 1 6629
9 5 6390
1 1 7972
3 3 8416
4 5 6155
8 6 3082
1 4 3483
6 9 3849
9 6 7985
4 7 8061
7 3 3173
5 1 3209
6 1 480
7 4 7402
2 9 8816
9 7 1124
2 9 1097
5 4 6367
5 4 4962
2 9 9681
2 7 6963
5 4 7763
5 9 1276
4 6 8289
5 9 6339
3 9 9077
8 1 9715
4 7 9650
10 1 2485
4 4 176
4 6 9222
8 2 2605
2 6 6714
7 2 5871
7 8 8491
6 10 7082
2 9 8372
9 2 4900
10 4 7810
5 9 496
2 4 8313
3 1 4434
10 4 4771
3 1 9804
5 7 582
7 2 8623
8 6 5052
1 4 7315
10 3 1780
10 9 3408
7 10 4583
9 3 5915
2 4 1519
4 6 2669
8 2 357
1 8 8219
3 6 8034
4 8 5869
9 8 5021
8 9 680
8 5 9371
10 3 7613
7 6 7066
5 1 4443
5 8 1966
1 8 1774
9 3 3651
4 6 5968
2 4 3625
5 4 783
4 3 4289
6 2 9751
1 10 4306
6 4 9077
1 8 3866
6 9 9256
1 9 3868
3 5 9105
1 6 5931
7 2 6124
2 7 2148
10 3 5881
3 3 9591
10 10 4794
8 10 6864
4 8 3452
1 10 1832
6 120
1 2 3686
2 3 7384
3 4 665
4 5 1234
5 6 3314
1 6 1993
3 3 4104
2 2 6856
2 1 5710
2 5 8869
1 6 7457
1 1 6262
2 2 674
5 2 8953
3 3 2688
5 4 2354
4 1 8142
5 6 2430
4 1 2598
3 6 2356
4 6 6907
4 4 4674
3 5 2243
2 4 1644
6 4 1083
5 3 1754
4 6 8272
6 4 291
5 6 7285
4 2 7104
5 3 8448
3 4 1659
6 6 7988
3 1 5009
6 6 1090
6 5 6896
2 2 4419
1 5 4115
2 1 9190
6 2 5353
2 6 1474
5 1 4063
3 4 6679
6 6 6345
4 6 4719
6 3 1783
1 2 2594
6 3 5295
2 2 8665
5 5 8951
3 6 4858
2 2 3294
5 3 7988
1 6 4829
1 4 5462
1 1 25
3 5 3918
1 2 8118
5 3 6563
3 5 9242
3 2 553
1 1 1649
2 5 539
1 3 5210
4 4 7023
3 4 3419
3 1 7646
5 5 4121
2 1 3312
5 3 4406
6 4 9109
6 4 8894
6 3 4174
2 4 5277
6 5 1250
2 1 4107
5 2 4687
4 6 5583
2 1 2089
3 3 9222
3 2 9579
1 6 4370
4 3 6888
6 5 1473
2 4 6601
1 5 438
1 1 3007
6 2 930
2 4 9620
3 6 1049
6 6 5400
4 5 2283
5 6 6994
6 5 6422
5 6 2129
5 6 1137
4 5 3218
4 4 9663
3 5 7298
1 5 3082
1 4 7771
6 5 4123
5 3 3735
4 3 779
1 5 533
1 1 4244
1 5 2372
2 2 5955
3 3 6928
6 3 7378
5 1 2880
4 6 3010
4 2 8491
4 3 6209
3 3 7637
3 1 8431
2 2 6325
4 1 3381
4 3 4175
5 1 1031
2 40
1 2 8645
1 2 1292
2 2 4301
2 2 9143
1 2 5351
1 1 9339
1 1 7770
1 2 4094
2 1 3826
1 1 8000
2 1 5382
2 2 4026
1 1 9146
1 2 1885
2 1 4028
2 1 5542
1 2 6761
2 2 7266
1 1 8098
1 1 8071
2 2 7887
2 1 388
1 1 6185
2 2 10
2 1 6684
2 2 8157
1 2 3262
1 1 8725
1 2 6347
2 2 1179
2 1 4257
1 2 7639
2 1 1674
2 2 4309
2 2 4687
1 1 862
1 1 5822
2 2 3686
2 2 1253
2 1 5996
14 280
1 2 2267
2 3 8319
3 4 2957
4 5 1798
5 6 2309
6 7 7420
7 8 8616
8 9 3982
9 10 8068
10 11 4570
11 12 8290
12 13 8725
13 14 5191
1 14 9328
11 9 190
6 11 6011
11 14 6048
9 13 7301
4 14 3296
2 12 5562
4 8 3712
7 13 2327
10 10 3248
4 8 8438
13 3 5648
12 6 1819
12 2 650
8 10 3109
6 12 962
11 13 4047
13 1 6440
12 7 9900
12 14 7780
6 3 735
5 2 2459
1 11 8448
3 9 6516
4 2 9551
4 5 4086
3 13 535
11 11 863
12 6 83
10 4 5824
3 7 9081
1 11 2828
2 11 7254
5 11 1074
12 1 3983
11 4 9633
8 5 1320
2 13 7308
8 9 1310
4 2 9299
14 2 7227
12 2 9883
7 1 6564
14 6 5438
12 1 7156
10 11 1178
11 5 8464
8 4 3060
1 10 7758
12 13 5161
10 12 6696
14 7 9450
1 13 8584
10 11 9843
13 8 8798
5 3 2294
10 11 770
5 4 7464
12 3 6885
12 12 5467
12 8 1739
14 5 4779
1 5 7416
14 12 6902
5 11 7015
10 13 5385
11 8 1646
1 12 9819
8 7 861
8 4 2433
6 14 184
2 11 1340
1 11 2137
12 10 9136
3 14 7776
1 7 1564
11 4 5325
4 4 226
1 9 9327
13 2 384
7 7 8559
8 7 6899
12 5 1205
6 2 61
7 2 9660
5 14 8801
12 10 6128
11 14 2411
6 14 5113
4 10 3822
6 1 4004
6 6 3750
1 3 7838
3 6 35
1 13 3594
9 3 9177
9 12 8521
12 8 5974
2 12 5003
12 1 2820
9 6 1858
8 10 8652
14 8 4540
7 10 8012
2 9 4554
9 1 9238
14 9 6331
14 4 1159
13 5 6650
7 2 9426
10 8 2576
14 1 8305
7 14 2568
2 5 217
3 6 1313
2 12 4571
1 11 6087
12 10 1044
2 6 2796
3 12 5511
4 8 3010
9 5 2945
7 9 1768
12 8 7318
11 11 5981
1 10 1351
6 11 6251
2 8 8259
2 9 3346
3 9 164
4 12 4235
11 5 7417
5 11 8361
9 7 4310
2 3 9628
1 1 2516
9 4 4914
11 4 3153
7 3 4743
9 5 6333
6 6 3700
10 3 3068
14 5 9093
14 13 7045
5 1 8085
7 13 8933
2 5 1457
7 1 4446
1 6 8944
3 12 4098
11 3 5420
2 10 2270
12 9 1240
2 8 6803
12 10 6275
8 14 1989
4 1 8943
4 5 6091
5 5 1692
8 5 5443
2 1 3859
13 1 4822
12 12 2100
13 11 405
13 8 4047
9 1 9004
3 2 4145
1 4 8029
12 8 6514
11 2 4340
8 1 1489
6 11 4363
14 6 6030
1 4 5582
6 1 6415
8 9 6613
7 10 5108
7 10 9709
10 5 4861
3 2 2210
12 9 5854
6 12 1212
14 11 6905
3 10 524
2 1 2520
8 6 1871
12 12 4212
4 5 8485
10 12 3486
10 12 4553
11 9 3481
8 13 4128
1 10 1317
1 11 3498
3 12 7428
2 6 801
10 1 8972
11 2 2438
10 12 9227
9 7 2204
9 2 5709
1 9 7581
2 10 8534
2 8 4598
9 8 4058
2 10 6975
12 3 9961
8 14 4477
3 7 230
10 1 4784
13 7 3997
11 5 6426
3 6 6929
3 6 1466
14 14 7858
5 14 1327
1 11 3743
12 2 9318
8 5 6536
1 12 1586
14 10 9020
13 7 5966
6 7 2904
6 9 7501
13 7 9606
12 11 6647
4 10 9424
13 5 6907
4 12 4239
14 10 646
7 7 4684
7 5 8412
8 8 5762
3 11 5269
1 10 1529
11 5 1303
3 7 5214
6 5 9574
9 6 5211
13 3 2354
3 10 2139
14 14 4913
1 7 751
6 8 9283
6 8 1976
10 2 3039
11 5 3797
4 8 4345
4 2 7648
12 1 9299
14 1 4530
10 12 2361
6 10 5109
10 1 8382
11 5 3328
6 14 5903
2 8 5459
6 12 5067
12 1 4336
8 10 1154
4 9 5222
9 2 4871
11 8 7568
7 1 2723
7 11 5603
14 1 440
8 2 2186
2 40
1 2 2405
1 2 6447
1 1 782
2 2 8288
1 1 9861
1 2 4732
1 1 8651
2 2 1373
2 2 3327
1 2 3767
2 2 5952
2 1 4708
2 1 1730
2 1 2979
1 1 4067
1 2 1799
2 2 1539
1 1 5756
1 2 2552
2 2 8355
2 2 8986
1 1 1356
2 1 5777
1 2 6559
1 2 8255
2 2 5356
2 2 8360
2 2 9224
2 2 1938
1 1 2871
1 2 5242
1 2 3135
2 1 291
2 1 2900
2 2 6545
1 1 3790
2 2 3015
1 1 5574
1 2 2840
2 2 4490
4 80
1 2 4292
2 3 1370
3 4 9723
1 4 4547
4 4 9964
2 2 4974
1 1 2557
1 3 427
2 1 9438
1 1 8425
2 1 9494
1 2 1550
3 2 9298
2 3 9020
4 2 1127
3 3 1396
1 3 6385
1 3 699
4 4 6047
1 4 788
1 2 4144
3 2 758
4 4 3499
1 1 3961
4 1 5278
2 3 7740
2 3 6950
2 4 3100
4 3 2683
3 3 2363
2 4 4064
1 2 625
2 1 9241
4 1 4201
4 4 3701
1 1 4056
4 2 2942
1 3 6565
4 3 1703
3 1 4146
1 2 5965
4 2 5710
4 4 2226
4 3 7514
1 3 593
1 3 5293
4 3 6659
2 3 3777
2 3 7347
1 1 6119
2 1 8176
2 4 6718
3 3 2501
4 3 9023
1 3 6597
1 3 6852
1 3 7526
3 4 5568
4 1 6782
2 1 3850
1 2 9134
4 3 6697
1 1 3516
1 4 1534
4 4 2248
4 4 8414
3 1 1384
4 3 3155
4 2 3940
1 4 1792
3 4 858
4 3 3452
1 4 1637
4 4 1284
1 3 2612
4 3 6211
1 1 3727
1 1 5466
3 4 5203
2 4 2990
13 260
1 2 4945
2 3 3939
3 4 4498
4 5 9244
5 6 3742
6 7 6194
7 8 8955
8 9 5378
9 10 4109
10 11 2930
11 12 3014
12 13 3557
1 13 193
8 5 7339
6 3 7571
1 9 2063
12 13 2734
3 9 2718
6 2 8567
10 10 3064
5 10 5609
12 4 9717
13 11 3273
13 7 4876
10 2 6588
6 2 2495
3 13 2105
7 4 6653
12 9 6985
12 8 7608
5 1 1972
11 2 1713
3 1 4468
8 2 5550
3 11 4819
3 3 2353
12 5 9969
6 1 6518
11 1 7692
5 12 2085
12 6 5292
2 3 2618
8 7 3345
1 3 4017
1 6 5620
1 10 2076
5 10 1801
7 3 7527
2 2 1971
6 8 53
5 6 4835
5 7 8278
6 2 3746
9 4 7217
13 4 3565
1 7 5729
7 13 6205
6 8 3448
7 10 4110
6 4 1529
8 8 3310
2 13 1426
13 5 3940
5 1 5319
12 13 7466
13 3 8846
10 9 868
6 3 796
6 9 1500
6 3 7023
2 11 5802
1 1 6775
9 1 1615
7 7 3667
7 5 6947
1 4 7073
1 13 8825
13 8 4003
6 13 6485
9 7 4593
3 8 4732
5 11 8088
8 8 2937
5 2 9377
1 10 976
1 10 7650
3 10 1479
13 9 8668
1 3 5368
10 13 9335
9 3 8451
4 9 8728
4 6 5239
4 10 4628
10 12 5861
7 13 9107
7 2 3211
9 4 9040
6 6 7390
5 3 6111
9 13 8579
9 3 4243
6 7 8932
12 12 1557
7 9 8488
12 2 3024
1 9 2237
13 6 1302
12 13 4221
11 5 183
11 2 3780
1 10 6096
1 4 5217
6 2 4079
9 8 2059
10 9 132
11 9 2298
2 10 36
11 8 2013
1 7 6301
7 5 5882
13 7 1910
9 9 6760
2 1 2023
5 11 8677
4 7 2584
3 4 9202
1 7 1742
4 6 9242
9 7 9093
6 13 108
5 12 4514
12 10 5609
10 11 3268
11 4 8103
8 8 4953
12 10 4139
1 13 6951
13 5 1988
9 2 9821
13 8 6985
10 12 7259
13 12 6739
11 8 3345
9 7 4802
6 2 9522
11 2 3988
5 2 6848
10 4 1785
5 1 9869
8 13 1047
10 9 1201
1 8 1296
2 5 9037
13 2 1852
3 9 5715
1 6 5913
8 13 8000
3 9 7364
4 2 9599
7 9 149
6 7 2769
5 9 1028
3 10 4182
10 11 1850
10 1 2134
1 1 2690
3 10 1305
9 1 7633
7 4 3661
3 13 9209
2 5 7613
7 12 6132
10 3 4207
4 12 8832
3 10 7511
8 10 9766
10 2 9584
10 12 164
8 6 9642
6 10 1535
2 12 3241
7 7 5959
6 4 3689
4 9 2763
1 12 4088
11 8 676
10 4 1142
7 1 9837
4 8 1421
4 2 8196
6 5 309
1 12 3232
7 6 1641
2 11 9717
10 11 2012
1 10 659
4 8 8349
8 1 2737
11 4 7808
5 10 7222
11 4 2893
2 4 6080
13 10 2914
2 11 3955
2 7 4384
2 7 1713
12 13 9353
12 7 3241
3 4 6242
1 11 7999
2 8 46
10 10 1975
3 11 6096
2 12 2449
13 3 3796
10 4 4225
4 4 762
6 2 900
10 6 829
4 6 5616
12 10 9808
7 6 6418
6 9 2325
2 12 5522
9 13 5724
12 9 7646
9 13 1948
5 7 3328
8 3 4524
3 8 9693
10 6 2410
9 13 9215
9 7 8890
3 10 4349
11 7 9546
10 6 5216
13 1 9424
8 6 5170
6 2 2046
8 6 8998
7 2 1319
1 12 1760
3 7 2295
13 10 9020
12 9 734
8 8 1234
2 7 4744
7 3 8376
8 8 6678
10 5 6830
7 11 799
12 13 2040
2 3 9676
1 4 9678
9 3 7567
12 12 1771
8 13 9935
4 9 4006
5 5 16
11 220
1 2 6135
2 3 4266
3 4 5285
4 5 4760
5 6 5064
6 7 6126
7 8 1948
8 9 3455
9 10 5078
10 11 9618
1 11 3130
11 8 2807
3 3 6726
7 5 4848
6 2 4783
3 2 5140
11 6 5155
7 3 7641
1 3 8752
3 10 7052
9 6 6669
8 3 9679
6 4 7096
3 10 8536
5 4 1533
3 4 3990
6 1 8035
10 7 7841
2 7 9284
10 7 499
6 4 3144
4 9 2114
10 4 1322
6 4 4472
5 8 3797
5 10 8977
2 3 4419
4 1 7559
9 2 6310
3 11 2087
4 3 4696
9 7 916
5 5 9904
2 8 4737
6 11 264
2 4 4913
10 4 2881
9 7 6618
10 2 2821
6 2 3888
6 6 6872
9 1 4792
10 3 3679
1 2 628
7 7 4175
9 8 2204
7 6 8703
8 1 1706
6 10 5407
6 2 9087
2 7 9598
2 4 6435
6 1 5359
1 1 395
3 5 6014
5 11 2364
8 5 2069
3 1 8603
2 4 3172
5 8 8437
8 9 132
2 8 5657
8 2 5926
2 11 842
11 2 1495
1 4 4498
10 11 1117
10 11 4232
9 2 6813
5 4 5327
1 9 14
11 11 449
1 5 8719
2 6 3910
11 3 7593
4 4 6648
5 11 3276
11 7 9829
3 4 715
8 9 4988
11 7 792
9 4 5019
3 5 6808
7 4 7869
10 3 2246
2 4 8655
10 7 3108
2 4 377
5 4 9066
9 1 8697
4 11 1355
7 9 9875
7 9 6266
11 5 101
9 1 8572
8 2 5879
10 9 166
11 11 5254
6 4 1726
6 11 6395
10 1 939
9 7 5370
2 11 136
7 10 6660
6 5 8851
5 2 7948
6 11 3304
4 9 4545
3 3 5147
6 6 4881
8 4 2382
8 1 4793
5 11 7132
9 6 2558
3 9 1644
9 1 3930
6 6 774
9 8 8932
11 8 5132
3 11 4791
6 8 6605
8 4 4632
2 7 2395
7 2 2510
9 4 7783
4 11 432
9 5 9039
2 11 7418
4 10 3526
5 10 5439
3 4 5905
1 10 5862
11 11 7030
7 4 9545
8 1 2770
7 2 9204
4 10 3146
7 1 7899
3 2 4359
9 6 7673
2 6 9072
10 7 939
9 4 1714
3 10 7585
9 6 4756
6 11 4872
10 3 4564
8 9 1903
2 1 4876
6 7 5911
6 6 2501
9 3 7604
9 11 5851
5 3 9636
5 11 7821
4 3 8187
2 2 3869
9 7 7555
4 8 3013
10 2 3768
9 7 4316
3 3 4208
2 11 2009
1 4 2045
8 7 6564
8 8 8334
7 9 208
5 6 8035
11 7 9714
4 4 5954
1 1 4429
4 3 4209
7 3 6233
10 3 4918
1 10 7849
3 5 3429
6 9 2881
7 2 7121
4 1 4402
10 4 3249
2 3 5924
1 6 7630
11 11 9620
9 7 4096
11 7 7046
3 10 9937
5 2 7307
1 8 9378
1 11 998
8 7 7885
6 9 3805
3 7 9425
3 7 5305
4 2 7101
6 10 3210
4 2 6546
8 6 5443
7 4 3756
6 5 8577
6 1 3265
9 4 6479
1 7 2647
7 7 5976
2 8 9050
11 2 3140
5 5 6093
8 10 7690
8 4 811
7 9 5281
3 1 9149
9 70
1 2 5664
2 3 1589
3 4 7790
4 5 3452
5 6 4235
6 7 647
7 8 143
8 9 210
1 9 8808
1 8 4069
1 6 8892
3 7 6611
6 9 9773
5 1 3042
2 1 8535
2 7 3644
9 5 1584
1 1 5818
3 7 2379
3 7 7990
4 5 6739
4 6 4285
5 2 3167
8 4 5564
8 5 6890
7 4 3716
7 4 2557
8 2 1201
8 4 9987
3 4 7776
7 5 8753
5 9 4059
1 4 6196
4 9 923
6 5 5689
7 2 6985
5 8 1871
5 4 8137
5 3 2781
9 3 4610
4 7 7692
8 9 3623
1 8 9013
2 2 3634
6 5 3231
3 3 2690
6 5 9303
8 1 1004
4 5 9964
1 5 8561
6 6 1136
9 4 7132
6 2 8128
7 3 9995
4 6 1944
6 8 3569
8 3 8585
7 1 5899
1 5 3063
3 3 64
6 7 4677
5 6 8358
4 9 5165
1 6 8589
4 8 8608
5 4 8207
5 9 7073
8 7 7076
4 5 2705
3 5 6740
14 152
1 2 3789
2 3 6725
3 4 4611
4 5 7896
5 6 1434
6 7 6361
7 8 9035
8 9 2951
9 10 2591
10 11 3516
11 12 1539
12 13 8814
13 14 4027
1 14 147
3 1 4705
9 5 1777
4 12 5204
4 9 4261
2 2 7352
5 8 7492
11 6 1739
5 5 773
7 1 640
5 10 1018
11 11 1168
13 5 5745
9 8 9648
3 11 1487
7 12 6184
14 1 4519
13 11 3817
1 1 9475
1 7 4075
3 10 3840
4 4 6938
4 3 1456
6 11 4066
7 11 40
1 1 5012
8 14 1028
11 10 1164
1 10 9559
11 9 6457
3 11 6102
4 12 1344
2 13 4182
3 4 5448
10 9 3995
12 9 6785
11 3 1171
8 11 994
1 11 4346
9 5 5646
8 7 1886
1 10 6787
12 9 5166
9 10 5469
3 5 993
7 14 5928
9 8 6456
11 1 7096
9 2 4368
2 8 1394
3 1 4952
12 2 2529
2 11 1064
5 6 4715
12 8 4843
12 12 6897
3 6 3182
10 1 1079
13 9 4454
8 8 2865
7 8 6418
12 5 269
9 4 9409
14 9 4372
14 6 6957
2 1 4806
4 4 1056
14 13 5932
8 10 7724
1 3 3481
1 8 5200
14 3 8414
12 11 6261
9 8 259
8 7 2228
1 9 6809
4 10 2632
11 7 9800
4 14 5409
3 12 6530
9 11 907
8 10 7139
9 8 460
12 14 1931
10 5 6268
10 5 1016
12 7 6719
13 1 9264
12 3 7023
7 5 9859
14 12 7931
14 3 360
2 12 7415
13 7 8504
2 2 703
11 11 967
14 6 7751
10 4 4814
13 2 4438
14 6 1642
12 3 5315
4 2 7952
5 1 4317
12 12 671
3 13 3624
11 9 5405
8 6 9172
12 13 7558
1 10 4009
4 7 2990
14 2 4678
2 5 6331
7 9 8735
9 6 5054
1 7 4514
7 1 2438
9 8 9841
14 4 9794
5 4 1559
11 6 2159
8 5 7804
5 4 6424
3 11 4730
14 3 7434
7 4 2094
11 10 3060
6 2 7652
5 1 9971
14 4 1182
4 14 5723
14 8 1587
9 10 4089
8 11 3883
1 10 8933
12 14 6262
13 8 2197
3 12 5790
12 14 2565
12 13 78
2 40
1 2 8689
1 2 1474
1 2 9412
1 2 9852
2 2 3734
2 1 2667
2 2 5280
2 2 7477
2 1 3266
1 2 5830
2 2 2259
1 1 948
2 1 8687
1 1 594
1 2 819
2 1 5895
2 2 7409
2 2 6868
2 1 2810
1 2 1725
1 1 840
1 1 1644
2 2 1432
1 1 8006
2 1 1943
1 2 8549
1 2 565
1 1 1878
2 2 4028
1 2 7967
1 2 1912
2 1 7964
1 2 7598
2 2 224
1 2 8398
1 2 5853
2 2 5256
2 1 4590
1 2 1331
2 1 5097
9 180
1 2 8068
2 3 3136
3 4 7653
4 5 2504
5 6 7451
6 7 9107
7 8 5704
8 9 5048
1 9 8345
8 6 5587
6 2 4772
7 4 8857
8 3 3506
9 3 32
5 9 6937
2 3 8161
9 8 7648
3 4 5099
6 5 146
9 4 8121
6 7 4492
3 5 6716
8 3 6900
1 2 5321
3 4 1424
2 6 8976
6 3 4595
1 5 9069
8 8 9247
4 8 2129
5 2 56
7 4 3288
2 2 9544
8 9 2356
5 2 8752
1 1 1247
9 6 1330
6 5 9357
5 1 8082
8 4 2202
5 8 951
6 4 1804
3 5 7265
1 1 839
8 5 5261
7 3 7468
2 3 1971
8 6 6419
5 1 5910
2 8 3292
5 1 3983
6 5 5177
9 5 9942
3 5 5177
4 1 6202
5 7 792
5 6 7923
9 4 8541
7 8 8065
4 8 5743
5 1 53
2 6 7404
2 3 1083
4 6 6986
6 9 7467
1 2 3983
5 5 1426
5 4 7479
8 8 1496
9 1 1560
9 3 2576
6 2 2791
6 3 3063
2 6 658
9 9 6414
5 7 5592
6 2 4714
6 4 3047
5 2 6065
9 9 9678
5 8 825
5 2 6192
4 8 7307
4 9 4111
6 6 1780
8 1 2867
9 7 4516
3 1 8296
2 3 9101
4 2 4050
7 4 9829
9 9 1900
6 1 8609
9 2 3743
9 8 7935
5 4 1355
1 1 7986
5 3 5605
1 2 1690
8 5 441
5 9 7064
8 9 488
3 3 6207
5 2 930
2 1 1668
6 4 7538
6 4 7779
2 6 3456
6 6 3967
2 3 1729
8 7 66
8 5 6156
6 7 8894
4 9 2883
1 1 4936
6 4 6834
4 8 7795
3 9 2334
1 5 8747
3 4 2485
5 2 7597
8 8 6617
9 2 8738
2 5 5274
4 5 6317
5 1 3451
1 3 733
6 3 2501
6 3 1655
8 3 5294
5 7 4800
7 4 6294
4 3 3911
5 2 209
6 6 9766
8 1 3304
4 8 8362
5 2 6366
5 6 3476
7 4 7305
4 7 2287
1 2 2134
2 5 5706
7 9 5544
4 6 7235
4 2 5714
3 3 7815
3 7 387
6 9 3061
9 4 7287
3 6 9196
2 4 9089
6 5 3582
8 2 1412
5 6 7853
2 7 1925
9 9 3430
3 3 396
7 6 4379
8 3 682
8 5 949
5 7 6332
5 1 9476
5 7 1589
4 9 5582
7 1 1220
1 9 8160
7 9 4762
7 7 3744
7 3 8581
1 1 2929
7 5 9075
7 7 5504
2 2 7920
6 3 8219
6 9 9987
2 1 6235
8 5 3831
5 2 3163
7 8 939
6 120
1 2 7149
2 3 3558
3 4 2132
4 5 988
5 6 8985
1 6 7894
2 2 9484
4 5 9013
4 3 7772
1 5 454
5 5 4943
3 2 6897
5 4 2594
6 1 9575
3 1 9484
6 3 8468
2 2 9307
3 4 8065
3 5 1393
4 5 4708
3 4 4256
1 4 339
3 2 9585
6 6 6121
4 2 9805
4 5 829
3 4 3397
4 6 3770
6 1 864
5 4 1268
6 5 9411
3 5 45
2 6 8640
2 5 2119
4 1 3182
2 4 3961
1 4 8700
5 1 6884
4 1 7524
3 3 1095
2 2 1699
5 2 630
5 3 7487
4 2 2159
5 5 6925
2 5 1268
2 3 8
6 1 6098
1 2 3956
6 4 4974
2 5 211
1 3 3923
4 5 6447
6 3 73
6 5 4567
5 6 9735
4 6 2757
5 5 3381
1 3 5376
6 2 9605
2 1 40
2 1 9738
2 4 8745
5 3 8403
3 1 4479
3 3 2858
2 6 7501
2 3 3459
5 3 1263
4 2 4788
1 1 1481
4 1 9391
1 2 2797
3 6 5535
1 2 6117
1 3 7819
5 2 8261
1 1 7449
2 5 7833
4 3 664
6 1 3621
2 4 6913
4 4 814
4 1 5420
5 5 3505
5 6 3285
2 4 7198
4 4 5297
6 3 7313
4 5 8623
1 4 1535
5 3 3384
3 4 2964
3 6 9018
2 4 9948
4 2 2937
3 1 842
2 4 7516
2 1 6416
5 2 1510
3 3 4881
2 1 3417
1 4 3805
2 6 1544
3 5 5817
1 6 9092
1 2 5541
5 4 3422
2 3 9241
3 5 8124
1 2 7088
5 1 2457
4 5 4790
6 1 7605
1 1 6321
3 1 4442
4 2 1606
6 4 1361
4 5 9003
2 5 1846
6 30
1 2 1215
2 3 1723
3 4 2608
4 5 2293
5 6 4179
1 6 1607
5 2 7114
5 2 7812
6 4 678
4 3 2635
3 6 133
4 4 1052
2 1 7563
5 4 8549
1 6 271
6 6 801
6 4 2472
5 1 1747
4 6 990
1 1 7379
2 4 9020
6 1 8374
5 1 6730
3 5 3283
5 3 4698
6 3 1109
4 2 5038
4 5 6120
2 6 6469
2 1 7924
8 17
1 2 391
2 3 9893
3 4 1453
4 5 3631
5 6 8266
6 7 7151
7 8 3831
1 8 1347
3 1 4629
3 6 5678
2 4 3138
2 1 8176
1 7 4295
2 1 7116
1 3 1391
2 8 8133
7 4 8115
8 160
1 2 1946
2 3 7019
3 4 12
4 5 5610
5 6 7999
6 7 8582
7 8 5767
1 8 3677
