1000000 1000000 1
27508 41875 183054 41875
87925 42108 647427 42108
413507 42241 581935 42241
568534 42694 763496 42694
663234 43145 698344 43145
589612 44080 996145 44080
177264 45014 778623 45014
756857 45596 829958 45596
34932 46474 35354 46474
753790 46912 902785 46912
818586 47413 984745 47413
566588 47787 841594 47787
577588 47967 718819 47967
440435 48840 916779 48840
652604 49666 832296 49666
608891 50077 643262 50077
118664 50204 425580 50204
290545 50731 713275 50731
944250 51662 979596 51662
839029 51899 952804 51899
242786 51950 757864 51950
681190 52065 751445 52065
691175 52439 913680 52439
932448 53349 970270 53349
658417 54135 909661 54135
988544 54546 989279 54546
986197 55038 989421 55038
934404 55146 978742 55146
729152 55208 929611 55208
982312 55469 990900 55469
726341 56065 778915 56065
605849 57018 703794 57018
730909 57186 882100 57186
883481 57725 910759 57725
486927 57890 863966 57890
769121 58224 966125 58224
610346 58877 753411 58877
123366 59781 808454 59781
54849 60780 574325 60780
819332 60910 969207 60910
127839 61778 623921 61778
711467 62406 889414 62406
390382 62585 615193 62585
20009 63469 98890 63469
798019 64185 798608 64185
85278 64871 596368 64871
915886 65392 928816 65392
123286 65985 373501 65985
695357 66955 920419 66955
525142 67744 711815 67744
801186 68356 848464 68356
645342 68411 858476 68411
229540 68688 660055 68688
493950 68832 656638 68832
244900 69309 481370 69309
582427 69925 586833 69925
538681 70298 552639 70298
487788 70706 965696 70706
186830 71687 925403 71687
662302 72184 745081 72184
575268 72325 997196 72325
901086 72892 916739 72892
570266 73565 678726 73565
691416 73769 907436 73769
718001 73912 737546 73912
643658 74395 920510 74395
80505 75216 434391 75216
584271 76088 599027 76088
501555 76289 833570 76289
14793 76366 669061 76366
280794 77214 992915 77214
746952 78088 949349 78088
936586 78877 985629 78877
518378 79502 952011 79502
497515 79928 782200 79928
459890 79952 767458 79952
577029 80108 692490 80108
734238 80189 761656 80189
441598 80939 645742 80939
116927 81116 694090 81116
882293 81246 958108 81246
381255 81599 734837 81599
331477 81649 540826 81649
452788 82401 592640 82401
182146 83347 373877 83347
880188 84127 993694 84127
885513 84500 937647 84500
735171 85219 829867 85219
295753 86008 332670 86008
452801 86644 769585 86644
402211 86814 839868 86814
259653 87300 535162 87300
914564 87550 919209 87550
340856 87557 644653 87557
193328 88114 915660 88114
498215 88712 835429 88712
621911 89407 827797 89407
945578 89749 969649 89749
64730 89777 962451 89777
877446 90477 896556 90477
535837 91252 669341 91252
104223 91576 465659 91576
663665 92563 763983 92563
206843 92578 207535 92578
802919 92668 820910 92668
528897 93363 530335 93363
407500 93526 869763 93526
572675 93817 668774 93817
774432 94416 925911 94416
274527 94535 465020 94535
515116 94720 930233 94720
354149 95268 959030 95268
412256 95787 947951 95787
716708 95969 740282 95969
828074 96805 964626 96805
746577 96881 984797 96881
122559 96949 907904 96949
715134 97265 889387 97265
371331 97412 988602 97412
20967 97948 931063 97948
260497 98782 948525 98782
802919 98837 967198 98837
351674 99100 634605 99100
614124 99362 643258 99362
357828 99710 520731 99710
181551 100580 811561 100580
70867 100677 223675 100677
857624 100794 912133 100794
571270 100806 721135 100806
531031 101524 544040 101524
146851 101558 421602 101558
928309 101721 944433 101721
269465 101767 982587 101767
575281 101775 941765 101775
22146 102438 916643 102438
833651 102572 941294 102572
306705 103345 690114 103345
822881 103689 841185 103689
686246 104076 941489 104076
697863 104825 996854 104825
437275 105812 973009 105812
813659 105932 975618 105932
510252 106673 883929 106673
845245 106928 914228 106928
791534 107465 865056 107465
322109 107918 808987 107918
688398 108537 832207 108537
52899 109209 604194 109209
398244 110157 916935 110157
961059 110718 978282 110718
933080 110792 975608 110792
776207 111750 812416 111750
577655 112339 871813 112339
458262 113073 810779 113073
372783 113834 516311 113834
718947 114249 983192 114249
292266 114908 970408 114908
705264 115443 951105 115443
985343 116068 986923 116068
540755 116072 732087 116072
199471 116835 663956 116835
571970 117420 731283 117420
738633 118197 930485 118197
514428 118948 697572 118948
672369 119588 674158 119588
382694 119628 707709 119628
329612 120340 757366 120340
523522 120753 829154 120753
304359 120758 607565 120758
637713 121739 855930 121739
584064 122073 604070 122073
676408 122290 687420 122290
479843 123074 661617 123074
575238 123170 690236 123170
193603 123712 612269 123712
383178 123988 947727 123988
458770 124249 933621 124249
283872 124640 888883 124640
729217 125462 860919 125462
729769 125782 870830 125782
465795 125940 480545 125940
741623 125968 866507 125968
985732 126030 991463 126030
628178 126905 770779 126905
666972 127345 834785 127345
15480 127735 521088 127735
453440 128692 572542 128692
750429 129310 763666 129310
823893 129668 875704 129668
459844 130523 644030 130523
719345 131189 880736 131189
447786 132098 930166 132098
480491 132942 684416 132942
821872 133611 903209 133611
787408 133756 792318 133756
514461 134736 780709 134736
397105 134790 944453 134790
156837 134815 399000 134815
409457 135264 666027 135264
28782 136152 889584 136152
438251 136612 857761 136612
905090 137127 964193 137127
277028 137863 609123 137863
331269 137873 579431 137873
928860 138425 954934 138425
924295 139123 930743 139123
108431 139971 895242 139971
939049 140821 997014 140821
483430 141432 767934 141432
919311 141493 983574 141493
203847 141707 506704 141707
872835 142617 919432 142617
776175 142666 905858 142666
994500 142901 999620 142901
459939 143440 475536 143440
282090 143532 397567 143532
425118 143636 465434 143636
471792 143903 491255 143903
603058 144348 842090 144348
71890 145134 242555 145134
310050 145980 808810 145980
211139 146049 870414 146049
122338 146992 498468 146992
504369 147081 648011 147081
308114 147224 552522 147224
694181 147237 883363 147237
430514 147281 800426 147281
517471 147904 679957 147904
315319 148320 584166 148320
887964 148615 893585 148615
667021 149448 882543 149448
987211 150400 994446 150400
991385 151099 993354 151099
651079 151728 995342 151728
867578 151929 896087 151929
982415 152923 988370 152923
591409 153673 943678 153673
644945 154266 718479 154266
202329 154805 784619 154805
410627 155755 665636 155755
46434 156440 696259 156440
236941 157330 601579 157330
426093 157774 769862 157774
618058 158447 789146 158447
885265 158522 976044 158522
47954 159189 971374 159189
266425 159250 738421 159250
925316 159947 984559 159947
304868 160490 712304 160490
629390 161246 750890 161246
999388 161838 999963 161838
132240 162629 989873 162629
31000 163000 876170 163000
615376 163739 641027 163739
214443 164509 633481 164509
818764 164951 947450 164951
629388 165160 678038 165160
592906 166047 708872 166047
725268 166596 908185 166596
390866 166961 751189 166961
698953 167194 999320 167194
497743 167579 602670 167579
366544 167933 518732 167933
569890 168838 737026 168838
299668 168951 368973 168951
645702 169590 933976 169590
454690 170559 903898 170559
82929 171459 410563 171459
202169 171829 769138 171829
372309 171929 569811 171929
885966 171960 909281 171960
261221 172259 589831 172259
136954 172838 809180 172838
830079 173583 995199 173583
57777 174034 868521 174034
60908 174639 220178 174639
794702 175631 980457 175631
749966 176460 828481 176460
720961 177383 726951 177383
665884 177478 698622 177478
36590 178431 52523 178431
835139 179023 909962 179023
567334 179892 643993 179892
580870 180004 595207 180004
507795 180839 752823 180839
599527 180922 628750 180922
506309 181233 854024 181233
597213 182192 606435 182192
588241 182611 909483 182611
930389 183333 946273 183333
730294 183999 804103 183999
375181 184404 440154 184404
860610 184571 877239 184571
606886 185281 817474 185281
527785 185806 863043 185806
631103 185932 988695 185932
905642 186176 924106 186176
347421 186427 927808 186427
472835 187343 763523 187343
819525 187399 859814 187399
309110 187531 626744 187531
829454 188000 970901 188000
588604 188373 890861 188373
675103 188410 798068 188410
24408 189395 814574 189395
974819 189908 985752 189908
520546 190846 766703 190846
684665 191712 709580 191712
814195 192568 885740 192568
670280 192616 890225 192616
239119 192702 438151 192702
817709 193412 856772 193412
992752 194009 995661 194009
868525 194156 941162 194156
136931 194185 345797 194185
771 194301 943453 194301
291378 194496 446257 194496
450882 194803 785709 194803
621997 195521 744178 195521
825668 195732 857738 195732
968106 196687 973181 196687
78875 196745 972197 196745
977960 197092 987598 197092
104363 197943 671885 197943
375855 198147 879400 198147
837408 198436 952454 198436
922711 199360 985582 199360
336991 199684 686076 199684
859220 200349 928397 200349
231993 201236 889187 201236
558679 201762 638081 201762
201117 202173 735374 202173
584333 202465 620082 202465
119480 202605 460369 202605
333250 203519 615294 203519
395874 203936 743350 203936
598677 204716 726518 204716
903985 205035 938627 205035
881263 205137 963160 205137
967332 205172 989343 205172
701233 206092 938024 206092
670199 206392 707299 206392
39751 206421 882631 206421
703720 206491 741846 206491
49704 206585 279357 206585
702923 207529 779198 207529
411510 208045 696434 208045
723906 208089 900399 208089
971015 209014 975189 209014
658060 209684 717251 209684
374065 209776 599494 209776
75296 210042 986044 210042
368474 210308 861118 210308
267054 211012 649695 211012
113549 211619 748710 211619
236735 212145 349888 212145
271234 212765 663874 212765
554471 212840 996677 212840
816813 213141 951079 213141
743177 213188 838404 213188
223832 213847 262320 213847
400370 214565 550787 214565
785758 214616 947456 214616
962820 215450 985046 215450
226495 215954 488570 215954
254006 216622 818814 216622
13205 216918 124997 216918
568106 217089 715518 217089
126378 217460 639104 217460
57344 218241 341478 218241
149689 218412 414646 218412
981457 218767 987424 218767
630241 219751 913499 219751
413206 220043 669742 220043
387893 220176 649880 220176
273532 220560 970168 220560
510342 220595 664200 220595
818224 221265 907020 221265
866949 221834 978690 221834
575775 222749 909409 222749
809737 223462 939941 223462
72286 223835 693406 223835
329870 224056 375438 224056
79683 224330 284135 224330
741340 224453 828400 224453
750439 225021 797695 225021
342797 225234 849639 225234
844612 225319 997407 225319
976370 225378 995854 225378
679430 225564 799663 225564
135204 225837 704303 225837
537700 226525 898912 226525
484195 227049 539937 227049
223503 227147 289435 227147
478950 227714 882443 227714
661737 228584 669228 228584
828753 229031 994805 229031
212072 230025 754530 230025
274329 230516 901691 230516
261357 230628 671611 230628
231960 230802 580411 230802
339183 231563 713482 231563
516742 231871 621741 231871
947815 232158 969222 232158
766703 232938 978705 232938
490746 233202 507070 233202
340301 234097 689927 234097
215017 234309 331094 234309
696658 234323 988899 234323
985330 234539 987505 234539
993165 234713 997545 234713
158820 235428 372072 235428
92142 235461 747124 235461
224651 235603 513520 235603
329926 236430 800683 236430
50260 237273 276681 237273
911932 238057 953324 238057
951882 238296 990142 238296
301292 238303 649836 238303
386922 238615 602252 238615
452886 239467 923112 239467
681117 240158 848269 240158
475539 240390 542215 240390
160948 240408 501167 240408
509271 240472 659723 240472
723989 241152 832903 241152
256497 241177 889038 241177
584340 241889 706910 241889
343697 242696 775980 242696
708569 242834 967974 242834
494349 243793 892967 243793
755619 244132 999086 244132
738657 244273 947287 244273
63777 244962 242548 244962
944742 245918 992232 245918
667936 246704 931746 246704
67154 246985 740074 246985
9472 247246 227948 247246
461106 247477 992376 247477
264241 248088 870255 248088
406255 248305 895282 248305
666661 248691 793967 248691
904695 248933 920944 248933
573259 249789 968774 249789
124636 250593 507989 250593
741401 250980 769741 250980
569516 251659 612780 251659
489349 251869 946095 251869
936073 251878 960610 251878
550678 252845 994982 252845
357970 253596 990805 253596
268509 254076 828986 254076
44820 254158 210964 254158
988391 254552 998071 254552
949657 255422 977773 255422
700732 255735 904091 255735
322218 255736 974736 255736
454621 255769 612392 255769
606115 256270 752747 256270
545469 256414 853086 256414
602894 257001 939055 257001
803582 257772 838434 257772
993336 258734 994136 258734
83066 258820 738929 258820
473085 259699 928153 259699
797909 260341 830935 260341
324761 260703 549664 260703
661557 261215 766146 261215
977062 261928 998888 261928
190245 262389 985011 262389
439976 263154 884976 263154
84121 263382 171794 263382
613152 263558 622904 263558
541204 264418 621765 264418
465699 265271 744474 265271
845493 266105 906833 266105
676694 266345 682017 266345
341695 266903 801883 266903
24878 267342 903491 267342
489487 267368 890510 267368
867172 267620 954399 267620
41398 268272 965847 268272
601765 268766 820310 268766
516811 269675 931061 269675
51979 270451 567530 270451
609570 270946 711089 270946
545968 271793 647570 271793
129250 271803 655561 271803
92128 272638 251016 272638
478687 273191 717620 273191
861328 273769 987630 273769
378226 274749 536853 274749
863794 275446 884120 275446
755157 276171 883975 276171
715561 277056 964825 277056
20968 277067 174225 277067
119716 277190 168837 277190
447573 277940 630506 277940
5245 278470 193279 278470
137874 279146 238406 279146
134207 279879 271050 279879
858943 280575 903479 280575
164004 281174 305269 281174
828539 281629 904003 281629
406261 281910 753455 281910
763753 282735 825611 282735
937947 282836 972721 282836
564961 283218 986418 283218
470290 283265 810583 283265
348852 283757 362308 283757
315323 284319 726903 284319
366961 285240 751349 285240
5256 285256 205584 285256
201851 285410 493561 285410
420297 285445 568257 285445
692561 286294 746598 286294
706800 287000 962517 287000
32087 287201 935334 287201
749808 288158 971270 288158
921793 288600 954268 288600
330754 288970 410790 288970
406193 289771 411600 289771
289667 290695 439938 290695
917094 291521 963260 291521
46885 292516 858763 292516
568864 293123 639289 293123
249127 293943 325638 293943
777137 294036 818036 294036
603342 294087 609896 294087
618640 294319 703894 294319
125227 295102 175687 295102
742971 295660 821730 295660
699679 295992 962933 295992
597899 296490 646874 296490
909272 296609 925949 296609
484161 296693 930416 296693
993079 296752 995415 296752
155827 297417 980701 297417
154664 298190 466627 298190
802001 298848 917429 298848
86775 299510 317010 299510
127591 299685 163272 299685
75259 300330 637491 300330
313125 300351 401318 300351
143868 300572 269601 300572
711640 301058 962921 301058
296699 301245 812922 301245
874692 301589 992114 301589
154643 302246 666011 302246
602866 302758 843284 302758
641862 303392 913235 303392
493400 303509 833808 303509
398843 303842 515348 303842
833671 304370 988422 304370
882919 304494 930816 304494
443755 305218 520603 305218
736128 305522 771674 305522
131055 305641 371719 305641
473671 305660 511694 305660
852851 306157 951910 306157
187656 306402 586257 306402
110995 306498 402583 306498
227807 307232 442092 307232
223344 308181 411089 308181
210686 308315 877197 308315
806230 308333 859957 308333
589483 309242 734569 309242
710337 309555 803229 309555
85708 310176 912017 310176
461930 310375 757278 310375
221419 311256 445551 311256
202724 311638 929015 311638
831740 312311 998804 312311
805982 312445 915309 312445
99582 312790 777470 312790
659354 313427 992383 313427
472971 313600 538558 313600
528102 313619 791674 313619
301158 313644 806342 313644
616259 313793 644092 313793
165699 313927 740702 313927
197015 314411 440324 314411
721177 314417 981934 314417
43981 314554 158648 314554
401173 315044 695773 315044
468787 315120 582766 315120
773931 315229 843722 315229
746407 315637 849313 315637
528758 316300 824096 316300
955367 316479 985837 316479
393092 317210 723240 317210
523330 317658 600087 317658
536218 318059 849040 318059
42695 318869 386502 318869
495988 319861 566225 319861
869977 320002 991938 320002
767166 320832 836292 320832
751222 321705 874156 321705
582655 321979 721745 321979
890215 321999 941711 321999
563353 322048 879363 322048
53406 323036 367834 323036
839505 323589 912724 323589
852125 324234 906057 324234
241706 324729 806181 324729
337368 324805 538184 324805
622013 325445 978588 325445
609336 325573 805784 325573
475751 326121 558082 326121
56361 326293 762236 326293
139268 326746 495946 326746
939196 327116 989966 327116
552063 328054 568291 328054
809337 328877 994909 328877
362771 329835 908911 329835
646883 330663 703232 330663
54233 331603 717571 331603
68939 332325 957323 332325
978772 333240 993687 333240
180 333655 920871 333655
798666 333698 968253 333698
584607 334185 793239 334185
211252 334756 694033 334756
191969 335333 774459 335333
395021 335442 609794 335442
993579 335952 993853 335952
792099 336013 954734 336013
620941 336709 891484 336709
593051 337686 601896 337686
749187 337748 788537 337748
138010 337816 367097 337816
975088 338313 986613 338313
816597 338723 886264 338723
958467 338780 977116 338780
743597 339218 844019 339218
85254 339658 488405 339658
137485 340324 523798 340324
646050 340340 723235 340340
376983 340438 568275 340438
239700 340645 679796 340645
812551 340838 879161 340838
667417 341458 947039 341458
829284 342056 987254 342056
311303 343014 419947 343014
814367 343553 888972 343553
574918 343767 747684 343767
653345 344234 863138 344234
340210 344553 635939 344553
405588 345336 487809 345336
107591 346243 721985 346243
866308 346942 979924 346942
160331 347644 493234 347644
244544 348621 397988 348621
774836 349074 927221 349074
366421 349237 859996 349237
55716 349371 401763 349371
505246 349748 969910 349748
505571 350063 829607 350063
784399 350984 806462 350984
408707 351239 480804 351239
360912 352088 982868 352088
108679 352861 306128 352861
404609 352893 593202 352893
630968 352938 807402 352938
475913 353257 961283 353257
881895 354145 887889 354145
439158 354148 695159 354148
817749 354383 891078 354383
327461 354395 756519 354395
464157 354449 599834 354449
663898 354650 759791 354650
240033 354885 718164 354885
121851 355678 962831 355678
148811 355937 917035 355937
825354 356463 838589 356463
62634 356490 673971 356490
266739 357324 731327 357324
821875 357867 845372 357867
830815 358461 998105 358461
106540 358700 758234 358700
60448 359093 825134 359093
808275 359876 869658 359876
32429 360297 809082 360297
481496 360524 975861 360524
613734 360936 634978 360936
142419 361247 532236 361247
848351 361419 964771 361419
350608 361463 724775 361463
728363 361557 784220 361557
378854 362088 736913 362088
96955 362903 353054 362903
569740 363750 725769 363750
927008 363810 982528 363810
175644 363882 706197 363882
658097 364713 816890 364713
173879 365133 336105 365133
183056 365421 366125 365421
506426 365744 827146 365744
305711 366670 936618 366670
578199 367515 822790 367515
531910 368198 905370 368198
240098 369001 376708 369001
513415 369701 550988 369701
296025 370521 357486 370521
649868 370668 780043 370668
864949 370787 952325 370787
143380 371400 359187 371400
513478 371567 733096 371567
374626 371629 483493 371629
578823 371808 756437 371808
921747 372208 924142 372208
320742 372882 379359 372882
204513 373388 792942 373388
847631 373489 967302 373489
316918 374036 629084 374036
81946 374510 868370 374510
713663 374611 739078 374611
339401 375548 360959 375548
385467 376522 860500 376522
531851 376675 670154 376675
387891 377487 830212 377487
832231 378275 894007 378275
500912 379071 903791 379071
721230 380020 740143 380020
760212 380066 803143 380066
194064 380374 697389 380374
95182 380806 965892 380806
163534 380941 970006 380941
294428 381919 572307 381919
131677 381993 900020 381993
364973 382027 462204 382027
227683 382485 806750 382485
639278 383013 788269 383013
629572 383506 775550 383506
519418 384362 522729 384362
213008 384838 827675 384838
129291 385461 533778 385461
420527 386405 940537 386405
305498 386477 494462 386477
167771 386605 702826 386605
836136 387478 837154 387478
407565 388042 460010 388042
828114 388310 881704 388310
152106 388405 339550 388405
392638 389043 979644 389043
895266 389370 950460 389370
825170 389790 851839 389790
712831 390301 846693 390301
409949 390333 892495 390333
973121 390635 979647 390635
710950 391137 871388 391137
672821 391397 993342 391397
489251 392144 855146 392144
312939 392539 900109 392539
808833 393488 972748 393488
735001 394276 873477 394276
101515 394939 893147 394939
498989 395771 532853 395771
666274 396525 812170 396525
133543 397407 605588 397407
344309 398206 774176 398206
511431 398975 700158 398975
134607 399821 316470 399821
669843 400692 826772 400692
160019 401681 910971 401681
764857 402003 979007 402003
216617 402660 602492 402660
732666 402979 769934 402979
113436 403765 861687 403765
972428 403838 974984 403838
726758 404779 828543 404779
155508 405041 471023 405041
193034 405106 665596 405106
274255 405345 983352 405345
825107 406069 871971 406069
462969 406838 712858 406838
912590 406871 913055 406871
139667 407318 868332 407318
827537 407840 876343 407840
57285 408154 863913 408154
910603 408350 965643 408350
355350 409056 413672 409056
103820 409273 291104 409273
825275 409380 974917 409380
599117 409971 646539 409971
965120 410412 978600 410412
12859 411307 402077 411307
274216 412294 847228 412294
458285 412795 986289 412795
147049 413131 616611 413131
60146 413182 424482 413182
974123 413781 991814 413781
588178 414275 699183 414275
9335 414943 259592 414943
648536 415011 997088 415011
877813 415242 932719 415242
974994 415710 983251 415710
703185 415827 719344 415827
26009 416641 825246 416641
624023 417033 660505 417033
75874 417291 653357 417291
476550 418079 778388 418079
573996 418320 709264 418320
947868 419135 999582 419135
208417 419841 439135 419841
298613 420807 890623 420807
558097 420914 861952 420914
706645 421311 724413 421311
458842 421480 640889 421480
493000 421801 538813 421801
701104 422698 869996 422698
945355 423052 964577 423052
484198 423393 904417 423393
357758 424296 920228 424296
2330 424697 113458 424697
386963 425107 848127 425107
733956 426087 798836 426087
262289 426749 426789 426749
251523 427427 888968 427427
493423 428242 992080 428242
609853 428722 773326 428722
491969 429566 707556 429566
613313 429617 888361 429617
953799 429656 992137 429656
743022 429666 995264 429666
275176 429976 903863 429976
70601 430741 732850 430741
366945 430866 781809 430866
448726 431853 762858 431853
791857 431964 902070 431964
274330 431991 401769 431991
164612 432888 202978 432888
634884 433312 938287 433312
910518 434244 990025 434244
951082 434984 957622 434984
280536 435175 375848 435175
449172 435407 837445 435407
734227 435918 851676 435918
972922 436045 993508 436045
645480 436253 831598 436253
227719 437016 526115 437016
827775 437912 969323 437912
772830 437945 989364 437945
754936 438429 950518 438429
522767 439035 866266 439035
118414 439147 871720 439147
517851 439821 922210 439821
673864 440017 725446 440017
515790 440141 717012 440141
568041 440194 649430 440194
982707 440773 996366 440773
359302 441562 520163 441562
252016 441692 935520 441692
353907 442492 879070 442492
617360 443194 796877 443194
554811 443293 676906 443293
711853 443522 983794 443522
197417 444366 568407 444366
112814 444940 539496 444940
397431 445779 434023 445779
756845 446258 975080 446258
585301 446627 693814 446627
367944 447143 393694 447143
957036 447246 996393 447246
114858 447644 869983 447644
118563 447853 390793 447853
11812 447958 485588 447958
376636 448451 724151 448451
628089 448452 780886 448452
535913 448501 910693 448501
323191 448506 707089 448506
80 448526 970762 448526
92375 449227 613606 449227
932209 449427 957391 449427
992257 450174 995673 450174
811053 450332 909202 450332
228527 451027 682512 451027
525506 451259 561812 451259
865640 452202 877876 452202
852158 452904 947946 452904
801359 453101 855741 453101
246129 453271 540941 453271
891671 454030 988275 454030
848284 454271 859087 454271
966310 455078 966426 455078
379674 455394 667997 455394
828699 455536 991691 455536
991561 456286 992716 456286
238275 457189 543309 457189
7996 458158 843258 458158
854622 459000 996064 459000
150530 459729 790239 459729
12259 460235 333560 460235
174058 460834 573735 460834
493885 460982 978589 460982
443084 461624 823837 461624
377832 461688 519045 461688
283392 462187 856516 462187
25540 462366 35515 462366
711261 462801 913758 462801
153151 462831 934817 462831
763490 463333 792528 463333
104114 464272 381312 464272
580075 465138 778972 465138
442341 465193 968629 465193
838904 465388 938240 465388
398110 466202 706171 466202
744299 466340 836541 466340
891447 466928 957617 466928
198060 467401 777120 467401
503230 468144 508815 468144
773786 469077 969299 469077
561825 469707 638512 469707
339695 470189 849197 470189
19224 470214 961803 470214
515952 470860 597998 470860
580273 471381 644879 471381
970747 471458 999337 471458
727055 471710 863334 471710
1000000 1000000 1000
883711 4 941742 4
162527 488 656609 488
755134 1396 829356 1396
124436 2372 945921 2372
341171 2693 487041 2693
535024 3181 766744 3181
124491 3186 809845 3186
183181 3798 915653 3798
486204 4688 612658 4688
781047 4910 800189 4910
560305 5664 670082 5664
835097 5805 860360 5805
124549 5958 899042 5958
628834 6210 707778 6210
665283 7184 913237 7184
60629 8063 588625 8063
953574 8725 955052 8725
66607 8757 219858 8757
785043 9267 958810 9267
591642 9589 887168 9589
676493 9864 945297 9864
574130 10193 836595 10193
291505 10234 713734 10234
999877 10303 999896 10303
631 11190 639075 11190
968975 11196 988370 11196
781319 11734 987626 11734
95446 12479 883199 12479
558109 12994 817551 12994
981099 13766 985866 13766
797340 14118 856044 14118
362380 14291 938002 14291
133473 15156 810052 15156
482655 15446 645647 15446
702877 16361 828358 16361
582154 17272 742716 17272
728967 17693 748100 17693
258080 18015 277044 18015
694546 18899 763160 18899
262487 18996 736948 18996
987603 19678 998254 19678
210046 19794 884280 19794
241126 20750 321888 20750
938984 21512 986968 21512
660545 22220 769655 22220
982883 22736 987534 22736
595471 22774 815163 22774
992990 23700 995365 23700
849172 24445 883155 24445
963572 24574 972352 24574
128218 25402 646820 25402
437117 25957 661276 25957
910822 26941 927019 26941
59354 27209 605432 27209
218184 27329 585258 27329
703247 27673 744846 27673
238439 27845 419260 27845
358976 28572 883646 28572
49391 28744 954075 28744
385327 28899 787017 28899
640826 29776 709316 29776
550042 30567 894710 30567
775107 30779 968132 30779
749639 31448 920444 31448
305780 32234 525493 32234
203439 32556 866513 32556
111706 32952 723051 32952
439074 33518 619238 33518
904110 34123 930122 34123
608261 34224 683471 34224
679843 34273 932099 34273
725835 34505 928420 34505
570681 35262 637039 35262
10148 35315 578257 35315
384874 35616 653587 35616
817268 36275 959130 36275
924324 37005 972108 37005
610632 37950 966818 37950
506130 37970 724046 37970
820195 38721 897771 38721
212430 38838 317547 38838
816101 38960 958163 38960
200502 39910 471460 39910
42403 40654 107666 40654
203306 40880 659058 40880
600246 41012 687404 41012
248966 41154 953771 41154
568453 41355 830134 41355
814862 41530 865978 41530
910512 42061 971740 42061
796597 42226 806744 42226
774867 42732 854006 42732
99332 43078 632110 43078
784105 43767 895731 43767
438762 44684 552764 44684
294755 45559 551586 45559
90178 45925 273628 45925
240227 46027 387670 46027
875497 46417 919894 46417
260740 46992 302202 46992
121531 47387 214269 47387
406102 48131 894708 48131
944370 48906 961045 48906
578464 49046 591945 49046
418956 49949 582284 49949
924372 50227 934060 50227
320580 50941 476498 50941
434769 51756 498955 51756
932167 51843 965962 51843
415151 51972 690274 51972
565037 52769 733845 52769
116835 53364 915918 53364
863995 54217 873105 54217
100095 54400 768576 54400
172061 54795 832504 54795
851877 55655 880675 55655
246898 55971 595250 55971
715308 56149 929872 56149
980297 56403 989145 56403
955774 57296 995660 57296
911443 58137 940596 58137
986252 58214 991916 58214
643549 58875 896229 58875
863083 59193 941356 59193
88255 59295 478314 59295
572107 59752 587553 59752
711128 60054 986342 60054
454064 60820 873192 60820
699565 61568 825441 61568
849351 61819 864649 61819
127198 62524 737663 62524
706688 63308 838210 63308
125403 63729 495658 63729
573021 64544 712377 64544
55290 64677 403197 64677
618252 65508 879147 65508
264560 66093 597697 66093
707754 66178 943568 66178
240911 66684 780606 66684
418850 67530 852883 67530
862190 68232 937645 68232
436254 68442 455661 68442
180834 68649 959515 68649
680402 68661 765875 68661
943270 69436 957256 69436
771365 70238 979728 70238
284160 70465 483909 70465
585331 70669 944996 70669
333565 71070 883764 71070
329360 71244 707660 71244
963141 71676 990888 71676
530124 71740 937393 71740
891459 72358 971704 72358
165997 72473 882317 72473
641225 72730 822641 72730
550997 73165 772488 73165
369767 74133 951676 74133
369126 74949 777559 74949
487207 75421 692496 75421
599199 76255 604195 76255
3682 77198 45516 77198
405209 77629 965840 77629
986138 77703 987863 77703
