21 67
Q43 +
I39 +
Q7 -
A27 +
B13 +
K12 -
H16 +
U34 -
S32 -
P14 +
E44 +
D36 +
D6 +
A38 +
P53 +
Q18 -
P58 -
Q33 +
A6 -
T12 -
D39 -
P59 -
D3 +
M40 +
M14 -
C47 +
Q54 -
E12 -
N43 -
O47 +
K9 +
L63 -
F67 -
J30 -
Q56 -
R2 -
I50 +
N9 +
U8 -
Q29 -
C59 +
B57 -
Q36 +
D64 +
S40 -
D61 -
B35 -
P36 -
N20 +
F16 -
G55 -
T35 -
M19 +
C13 -
S46 +
R19 +
D18 +
C22 +
A59 +
T54 -
Q50 +
N11 -
L42 -
I58 +
K37 -
E13 +
Q49 +
N5 -
F59 -
R46 -
U59 +
L2 +
N62 -
K47 -
F23 +
D32 +
E4 +
R13 -
I26 +
M32 -
B54 +
I57 +
B51 -
L30 +
T26 -
E56 +
F4 -
G50 +
U9 +
C34 -
O55 -
C66 +
R44 +
D21 -
P61 -
P38 -
R16 +
S57 -
M11 -
R41 -
J44 +
P42 -
M64 +
C65 +
K63 -
M48 -
R24 +
I30 -
J36 -
D33 +
F61 -
K24 -
E32 -
F48 +
O53 -
N51 +
O16 -
D34 -
P31 -
A62 +
G26 -
S4 +
S12 -
G33 -
S31 -
I46 -
J29 +
D55 -
U23 -
U14 -
F50 +
K46 -
I31 -
E59 +
A11 +
F57 +
U43 +
T11 -
F12 -
E23 -
H43 +
U61 -
T7 -
G21 +
O25 -
G41 -
J2 -
T67 +
H6 +
U51 +
P9 +
L37 +
F30 +
I40 -
K26 -
Q16 -
U27 -
M13 +
D40 +
D62 -
R3 +
E22 -
T57 -
K57 +
N39 +
E8 -
G24 +
A46 +
K11 -
B2 +
G67 -
Q21 -
C20 +
E38 +
I55 +
B26 +
O23 +
N35 -
L58 -
O66 +
H19 +
D49 -
T55 -
O45 -
T19 +
K49 -
G53 +
T22 -
I41 +
L21 +
B33 -
N42 -
E33 -
J19 +
I29 -
H67 +
P17 -
G10 +
G8 +
M63 -
F17 +
J24 +
J57 +
N61 +
P48 +
E53 +
G9 +
B15 +
U48 +
R60 -
H28 -
M59 +
U3 -
G3 -
C46 +
M51 -
B47 +
R14 +
M6 +
C41 +
L22 +
A61 +
O31 -
S38 +
M9 -
I34 -
R51 -
O52 +
P66 +
U4 +
H26 -
H55 +
K31 +
E41 +
K41 -
F53 +
A65 +
D1 -
G34 +
K14 -
K42 -
G45 +
N6 +
B6 +
C15 +
A37 +
I7 -
J32 -
Q64 +
H3 +
J23 +
B37 +
I49 +
L23 +
A52 +
O11 +
H39 +
M16 +
K67 +
K66 -
L14 -
I60 -
N12 +
L50 -
H64 +
F7 -
A8 -
S45 +
M35 +
D52 -
I51 -
R65 -
T31 +
R45 +
B63 +
E6 -
E19 +
I59 +
U15 +
N66 -
N28 -
P37 +
S14 +
D63 +
N48 -
S20 +
A51 +
J66 -
G46 +
P50 +
B4 +
F43 -
F31 -
U35 +
R4 -
C21 -
B45 -
L1 -
R40 +
G6 +
L47 +
E14 -
O35 -
J1 +
B61 -
H14 -
F42 -
T42 -
R61 -
R36 +
P12 -
A50 -
A40 -
N4 +
P34 -
R10 -
U31 -
R54 -
G30 -
S34 -
A5 +
T9 -
F34 +
T32 +
L4 +
C63 -
O67 +
B7 +
C19 -
T28 -
F11 -
N7 +
B12 +
I63 -
J45 +
L44 -
Q60 -
N29 +
L5 -
E16 -
Q24 -
N58 -
L35 +
J26 -
F37 -
A4 -
C60 -
K20 -
R37 -
I15 -
E24 +
R22 +
U36 -
S33 +
K65 +
O22 -
K38 -
O9 -
D30 +
D12 -
Q3 +
R63 -
T15 +
O41 +
C37 -
J18 -
A18 +
F51 +
R50 -
Q8 -
M52 -
T48 -
S65 +
F41 +
L55 +
U44 -
A66 -
I48 -
F25 +
F55 -
H11 +
B1 -
F63 -
D44 -
A15 +
D60 +
U41 +
I32 -
K22 -
P55 +
H44 -
Q41 -
O54 +
A34 -
T27 +
I23 -
G23 -
O63 -
P15 -
S21 -
O12 +
R55 -
Q14 +
S25 +
T30 -
H18 +
E2 +
J21 +
D53 -
P28 -
I1 -
T10 -
K32 +
D19 +
J50 +
H8 +
C28 -
S39 +
U63 +
R47 -
M47 +
D59 +
O1 +
J47 -
P29 -
Q13 +
N27 +
B52 +
L18 +
C9 +
H29 -
L60 -
U46 +
M34 +
C12 +
H62 +
C23 -
H42 +
A48 +
J12 -
H45 -
G63 -
D57 +
H27 +
357
D28
T40
S16
A39
S43
K28
F8
H58
F14
T4
G39
D37
O2
I2
L61
Q55
M2
F58
L7
B27
O32
K27
K7
K33
S49
S10
A2
L28
O17
G28
T25
L67
S5
E48
H4
H7
U2
H2
E60
G61
K25
O50
G40
O44
K23
N65
C54
C16
M28
J48
D35
A63
E65
D22
B19
J58
Q31
N67
S66
C40
U58
J35
G38
G15
H30
K5
N34
B66
U26
J64
U67
J53
M50
E47
B48
S17
H5
K3
A19
L54
A44
O60
U6
Q27
C67
C31
R62
J9
G44
J25
N36
G37
T38
B49
E31
A29
I38
S50
O59
G62
D29
T21
I22
Q6
I37
B24
T58
F54
E27
J20
P16
E35
R39
T2
S6
P44
J11
O7
Q48
N22
K60
D10
M60
T1
S62
U60
S13
O46
B38
B55
O37
I45
B41
O6
R9
K4
E36
S27
C26
C38
J7
F33
N32
E57
L16
I5
C53
R38
Q46
L33
Q45
R57
O58
S9
R32
K58
K40
Q61
O36
K61
T18
L19
Q62
U24
F40
G57
S2
U25
J31
M25
C52
U19
L64
O38
N24
S42
O21
B42
I56
H37
K10
M30
E30
R64
S24
H66
U53
M17
G58
J40
P57
S58
D7
S22
B44
L51
M62
B20
J34
Q47
F64
G11
E63
N26
L65
C11
N63
G64
B14
L66
J60
C10
S47
H12
O48
A24
E1
H9
G43
K19
T62
M3
D2
O27
R20
A54
N10
J17
Q59
E28
B11
F35
T60
R1
I14
O29
O49
B21
U37
M65
U22
D51
L31
C36
E45
K62
R25
F26
I43
K2
N31
G12
A20
U47
H54
D23
Q40
E54
L24
F20
L49
P5
F45
P51
B43
I3
L40
R18
U29
O62
T20
E20
C3
H50
H10
S48
G60
U33
U55
J52
A60
D46
D43
T49
B28
N19
M57
H36
G20
A28
E50
K30
U38
A45
P27
N47
S54
N14
F66
P30
M46
P49
T29
E66
F18
G49
S11
T6
U20
B60
M7
N54
S56
T56
J49
B22
M42
K48
E58
O4
Q51
J10
K13
N15
H1
A26
U45
G17
I36
F2
D31
N33
N52
K44
R11
G16
K43
R42
O40
S55
M67
Q2
O5
R67
R21
Q35
H60
M53
P2
I47
P1
F6
P26
D47
N21
T65
T63
9 18
160
A4 +
G17 -
C17 +
F18 -
D2 -
G4 -
G15 -
C15 +
C1 +
F10 +
G18 -
C18 -
F8 +
A3 -
E15 +
E7 +
B10 -
I6 -
F14 -
D15 -
E13 -
D1 -
C11 +
H12 +
D6 -
H15 +
H14 +
G16 -
G14 -
B9 +
E5 -
D16 +
H5 -
G8 +
D14 -
C3 -
G9 +
G11 -
G2 +
C13 +
D8 +
E18 +
G1 -
E10 +
H4 +
F5 -
I15 -
B3 -
F6 -
B7 -
E16 -
E9 +
I12 -
H8 +
B2 -
D13 -
I4 +
H2 -
A17 +
I9 -
E12 +
B13 -
D7 -
C9 -
E2 +
F16 -
I8 -
B11 -
E1 -
I11 -
H1 +
I17 -
D11 -
C7 +
C6 -
A5 +
C2 -
F11 -
D18 -
E11 -
F7 +
H13 +
I3 +
D4 -
G6 +
H17 +
E8 +
A8 -
C10 +
A6 +
C14 +
A18 -
E3 +
C16 +
C8 +
E14 -
H7 +
A1 -
A16 -
F12 -
H11 -
H16 -
H10 +
A13 -
B5 +
G13 -
F1 +
H6 -
A10 -
A12 +
I5 +
G10 -
I14 -
I18 +
F13 -
B14 -
D9 +
F3 -
B12 +
B15 +
C5 -
A14 +
H18 +
D12 -
C4 +
A9 -
G5 +
A15 -
I2 +
E17 +
H3 +
D17 -
B18 -
I7 -
I13 -
G3 +
H9 +
F15 -
G7 -
A2 +
B8 +
C12 +
B1 +
I16 -
F17 -
E6 +
I10 -
D3 +
B6 +
I1 -
D5 -
B16 -
F9 -
B4 -
A11 -
B17 +
F4 -
G12 -
A7 -
F2 +
2
E4
D10
1 29
22
A11 +
A16 -
A18 +
A3 +
A13 -
A5 +
A1 +
A21 +
A6 +
A14 -
A27 +
A10 +
A15 +
A19 -
A7 -
A17 -
A8 +
A2 -
A25 -
A23 +
A4 -
A22 -
7
A28
A20
A24
A26
A29
A12
A9
23 55
1246
N4 +
P44 -
H53 +
B53 -
I9 -
W26 +
O38 +
T1 +
V6 -
O15 +
D6 -
E30 -
F39 -
R28 -
P3 -
K3 -
I44 +
K21 -
F26 -
A52 -
G24 +
Q37 +
T33 +
A11 -
V54 +
R44 -
S1 -
B32 -
F28 -
S10 -
G44 +
I12 -
T19 +
A33 -
A48 +
E38 +
O14 -
N14 +
O47 -
N26 +
A42 +
L21 -
E12 +
Q3 +
G15 +
M17 -
O16 +
L4 +
P27 +
T28 +
V50 +
G25 -
S8 +
H30 +
W31 -
P36 -
U7 +
W55 +
G42 -
J44 -
F10 +
U21 -
P9 -
U31 +
E48 +
B47 -
E3 -
L49 -
C47 +
Q51 +
N10 +
F41 +
I35 -
I51 +
R12 -
M3 -
B46 -
C51 -
U53 -
V11 -
H18 -
I38 -
T48 +
W11 +
D19 -
R18 +
D7 -
V38 -
N3 -
N28 +
A32 -
G8 -
R1 +
L36 +
P53 +
O12 -
E22 +
B42 -
F25 +
N2 +
C11 -
G6 +
R17 +
Q11 +
L33 -
H36 +
K4 -
W27 +
P11 -
B48 -
E15 -
J35 -
G34 -
H9 -
D1 +
G19 +
T40 +
P35 -
T50 +
U15 -
M39 +
N38 +
D54 +
U47 +
S44 +
I39 +
C55 -
R21 -
G38 -
W48 +
J31 -
F29 +
U48 +
O55 -
H52 +
E31 -
N45 +
Q6 +
P15 -
L19 +
O28 +
V3 +
E43 -
J48 -
P14 +
S14 +
G26 -
G16 +
L27 -
M30 -
F44 -
S34 +
O43 -
B25 +
Q24 -
F22 +
M35 -
H28 -
P52 -
R15 +
D51 +
M37 +
F20 +
A44 -
W37 +
Q48 +
N46 +
M53 +
L9 +
B30 +
W25 -
R30 +
G54 -
V20 -
A31 -
B33 +
K34 -
K27 -
H19 +
J9 -
V29 +
R3 -
E5 +
S31 -
K35 -
D5 +
M23 -
U30 -
L37 -
M4 +
N52 +
H48 +
R31 -
S36 +
M46 +
I21 -
U25 +
J55 -
N39 -
V45 +
P31 -
J22 -
J15 +
B22 -
R14 -
T41 +
A26 -
R19 +
D9 -
W41 +
B17 +
S21 -
U1 -
H1 -
S7 -
F19 +
S23 +
T2 +
T20 -
T12 -
C18 +
Q7 -
J41 +
C40 +
H31 +
R54 -
J33 +
W49 +
L5 +
S51 -
A30 -
J7 -
O20 -
M29 -
C6 +
F27 +
J47 -
H55 -
B50 +
B4 +
S47 +
A25 +
D37 +
B49 +
P40 -
W23 +
Q42 -
N7 -
B54 +
T52 +
R37 +
P55 -
S46 -
D29 +
P7 +
N32 +
O44 +
H8 -
N13 +
S28 +
A38 +
N47 +
Q53 -
O45 +
P19 -
J13 -
G3 +
O37 -
J17 +
Q27 +
O23 -
C44 -
F42 -
W21 +
A37 -
T51 +
H23 -
O19 -
G49 -
L26 -
F46 -
N49 -
A43 -
I52 +
F43 +
N37 -
Q36 -
A41 +
G18 +
K29 +
F6 -
R53 -
B16 -
L23 +
F3 +
T39 -
S55 -
T45 +
D23 +
E37 -
T44 +
V32 -
C8 -
O25 +
H2 +
I2 +
M14 +
K39 -
D16 +
C29 +
I14 +
V23 -
W8 -
S32 +
N21 +
I19 -
E46 -
T43 +
S6 +
V27 +
T32 +
W16 +
B1 -
A51 +
G46 -
M2 +
O29 +
W5 +
E51 +
C3 +
T29 -
V19 -
O46 -
G13 +
M15 -
H43 +
S43 -
W13 +
P39 +
C53 -
N29 +
B11 +
C43 -
L14 -
O4 -
I16 -
G32 +
V47 +
S4 -
H40 +
I47 +
R23 +
J37 -
W6 -
A18 -
R6 +
Q19 +
G37 -
T46 +
I50 -
C1 +
H29 +
N43 -
K18 -
T35 +
H4 +
F11 -
F2 -
O51 +
W4 +
M26 +
J8 +
C13 +
J52 -
K12 -
K46 +
G31 -
I37 +
E1 -
V28 -
V9 +
D49 +
G1 -
L39 +
C42 +
R34 +
W36 -
P45 +
U44 -
G17 -
L40 +
J10 -
Q45 +
E20 -
J14 -
E6 -
B14 -
E25 -
F1 -
K31 +
R49 -
R40 +
G33 +
K23 +
G36 +
D21 -
B13 +
B2 -
E53 +
M22 -
I29 +
E8 -
I24 +
U38 -
N12 +
K45 +
J18 +
L16 +
E14 -
J30 -
M36 +
G7 +
K30 +
D15 -
S24 +
G5 +
U49 +
J23 -
B38 -
F50 +
Q26 -
J21 +
W40 -
D53 -
Q1 +
D3 +
C9 +
O6 -
L12 +
S42 -
M21 +
D11 +
F12 -
L43 -
U18 -
V13 -
G22 -
L45 +
A55 -
M6 +
Q50 +
D55 +
F49 -
F21 -
Q8 +
Q15 -
H11 +
G10 +
V15 +
F55 +
Q55 +
U6 +
F9 -
P26 +
V2 +
S27 +
O30 +
N19 -
K19 -
A7 -
C49 +
K8 -
I42 -
C38 -
W43 -
P29 -
O33 +
L28 -
L47 -
U13 -
L48 -
Q9 -
N51 +
B35 -
D22 -
I18 -
I6 +
N11 -
M16 +
R45 -
D24 +
E26 -
M20 +
J2 +
H12 -
O21 -
F24 +
U5 -
P25 +
S35 +
G51 +
O10 -
U28 +
P28 -
H46 -
A50 +
I3 -
N53 +
U27 -
S54 +
E19 -
V40 -
S40 +
K14 -
M18 -
Q5 -
T24 -
A14 +
C27 +
B3 -
G35 +
K33 +
W38 +
B10 +
J25 -
K16 +
E18 +
D35 -
A46 +
I53 -
W50 +
M50 +
D47 +
P22 +
L24 +
W47 -
O1 -
J50 -
C45 +
R25 -
W30 +
G4 -
G50 +
G12 +
W22 +
G41 -
N20 -
R29 -
E44 -
V42 -
K15 -
J26 -
E50 +
G2 -
F54 +
G28 +
G27 -
W15 +
N48 -
H26 +
C31 +
R43 +
T37 -
Q52 -
U16 +
C14 -
C41 -
N27 +
U34 +
J36 -
W2 -
F47 +
S9 +
B26 +
H49 -
R52 +
D31 +
K7 +
C33 +
S13 -
K17 +
S38 +
K53 +
I11 -
F8 +
C12 -
T11 +
W7 +
N33 -
A34 -
D26 -
E49 -
L3 -
U11 +
D41 -
I36 +
D30 -
S20 -
B15 -
H44 +
J16 +
K48 -
E32 +
R35 +
L34 -
P16 +
L30 +
W32 +
U54 +
I32 +
F48 +
R24 -
E21 -
V31 -
T21 +
M40 -
C19 -
D10 +
U32 -
F7 +
I10 -
W3 -
I20 -
T30 +
G45 -
V14 -
E2 -
K5 -
U14 -
J38 -
M43 -
K13 +
Q17 -
M51 -
Q22 +
U2 -
J24 +
P23 +
S17 +
V41 -
H16 -
L20 -
S33 +
V51 +
G29 -
S15 -
R11 -
J53 -
M44 -
C2 -
B45 +
O9 -
J4 +
O13 +
D50 +
C28 -
T42 +
D4 -
N15 -
W10 -
Q46 -
O35 +
M31 +
F5 +
M19 +
K6 +
Q35 +
W39 +
K32 +
G43 -
F30 +
I5 -
L54 +
H25 +
T9 +
W14 -
D36 -
E40 -
E23 +
O34 +
J42 -
E55 +
A22 +
D20 -
U51 -
K38 -
M24 +
A10 -
S2 -
N31 -
B6 -
W46 +
I26 +
E16 -
T10 -
T25 -
V7 -
I27 -
I17 +
I31 -
H35 +
P24 +
H5 -
P33 -
C23 +
J54 +
S25 +
A53 +
D42 -
S41 +
N40 +
F33 -
P54 -
P32 +
U42 -
T8 +
N44 +
P8 -
N41 +
F52 -
V18 +
L1 -
H50 +
B51 +
T38 +
W33 -
A9 +
A17 -
D43 +
V35 +
V43 -
D2 -
Q12 -
H7 +
Q33 +
B28 -
V53 +
K51 -
F45 -
V12 +
H33 -
C22 -
V36 -
G11 -
U37 +
V44 +
E27 -
J46 -
O50 -
E52 +
Q14 +
E7 +
V25 +
K36 -
M9 -
O17 -
V49 -
C39 -
W17 +
H15 +
V26 -
G48 -
Q18 +
K50 +
R7 -
R16 +
I45 -
Q10 -
B52 -
U39 -
E36 +
T13 +
O40 -
I41 +
D14 +
P13 -
D8 +
I34 -
C21 +
D25 -
Q29 +
O11 +
U36 +
Q30 -
R36 +
Q49 +
J40 -
A1 +
J3 -
S19 -
O7 +
A35 +
P18 +
N9 -
A47 +
S5 +
D48 -
E33 +
M28 +
L18 +
V24 +
V21 +
T49 -
F38 +
S49 -
J32 +
K28 +
E9 -
D40 +
D27 +
E41 -
F35 -
V22 -
O32 -
F14 +
N16 -
K55 -
T7 +
C4 +
K54 +
L15 -
J29 +
E45 +
P21 +
A20 -
R20 -
T22 -
A2 +
L7 -
P43 +
O2 +
K43 -
G39 -
R27 -
O18 +
C35 +
L53 -
T34 +
W24 -
A8 -
Q34 -
M10 +
W53 +
U52 +
J39 +
W1 -
B20 -
J1 +
N17 +
L8 +
B43 +
G55 +
Q32 +
F37 -
E11 -
D52 -
E34 -
B9 -
J5 +
U17 -
J51 -
K49 +
R42 +
T15 -
W9 +
K10 -
S48 -
M41 -
N18 -
P5 -
K20 +
U35 -
R2 +
N23 +
U43 +
V30 +
R47 -
R46 -
G53 -
K41 +
D44 +
E4 +
D45 +
G20 +
C32 -
D17 -
Q16 -
A39 -
W44 +
N8 -
V10 -
O22 +
M47 -
B5 -
O8 -
B40 -
O54 -
L31 -
Q25 +
F13 -
I8 -
N22 -
K9 -
C26 -
Q38 +
U23 -
V48 +
M33 +
M38 +
I54 +
B19 -
G52 -
R33 +
M8 +
P50 +
J6 +
F53 +
W35 +
V16 +
F36 +
R5 +
S37 +
B27 -
O27 +
A3 -
K22 +
J12 -
G21 -
A23 +
G9 +
T47 -
D13 -
W29 -
V37 -
P38 -
H14 -
T55 -
U55 +
U19 +
N54 -
D34 -
B7 +
R51 +
U8 -
H21 +
I23 +
H42 -
U40 -
K40 +
O48 -
I13 -
K42 +
B39 +
T23 -
E35 +
M12 -
R26 -
I30 +
S52 -
U41 +
I22 -
L11 -
L46 +
L55 -
Q23 -
K26 -
L22 -
E24 +
F4 +
G30 +
A40 +
Q54 -
I46 +
J19 +
M52 -
H32 +
L38 -
U20 -
D12 +
N6 -
F40 -
A27 -
P48 +
G47 +
L2 +
L32 +
T18 +
O3 -
Q20 +
W34 -
B18 +
N35 +
H22 +
I15 +
W42 -
T26 +
V33 -
L25 -
Q44 -
M25 +
O41 -
P6 -
M49 -
P41 +
W51 +
S12 +
R55 +
Q39 +
B24 -
M55 -
P20 -
M27 -
A21 +
C52 +
M42 +
V5 -
T3 -
A36 +
R48 +
K44 -
H10 +
V1 +
Q2 -
E54 +
W28 -
W18 +
E28 +
T27 +
K1 -
K52 -
B41 +
R32 -
L29 -
Q40 -
L51 -
E29 -
S45 -
Q4 +
E39 -
N55 +
L6 -
H38 +
C37 +
W45 -
A16 +
N50 +
F16 +
L17 -
B21 +
I49 +
R22 -
A4 +
J27 +
L35 +
O24 +
T14 +
C48 +
U10 +
F18 +
C15 -
A29 +
Q13 -
W52 +
H3 +
M48 +
S29 -
E42 +
L44 -
F31 +
B44 -
P49 +
K11 -
U24 +
R10 +
U12 -
I7 +
P42 -
N36 -
B23 +
K47 -
K24 -
C10 -
P1 -
T54 -
H6 +
M13 -
D18 -
B29 +
D38 -
S11 +
H34 +
U26 -
I43 -
A5 -
P4 +
H54 +
F17 -
L10 -
L52 -
W54 -
R39 +
E47 +
V55 -
T31 -
L50 -
H27 +
B12 +
A54 +
A15 -
S53 -
T5 -
M34 -
U29 -
U45 +
U9 -
R38 -
V8 -
D33 -
E17 +
I40 +
S39 -
A12 -
P47 +
J28 +
O53 -
D39 +
M7 -
O52 -
G14 +
R9 -
V39 -
V52 -
C50 -
C20 -
A28 -
U4 +
M11 +
S16 -
Q31 +
H39 -
P12 +
B55 +
P51 -
R41 -
B34 -
H47 -
I28 -
A13 +
J34 +
H20 -
C46 +
C54 +
F32 -
V34 +
O39 +
G23 +
F15 -
H51 +
U33 +
O26 +
A19 -
D28 -
M54 +
P37 +
R4 -
C30 -
A6 -
L13 -
J20 -
N24 +
C7 -
J11 -
H24 +
F34 +
R13 -
C5 -
U46 +
S30 -
U50 +
H17 +
N30 +
B8 -
S18 -
L42 -
N34 +
S3 -
E10 -
Q43 -
J43 -
M5 +
B31 -
T53 -
F23 -
L41 -
C36 -
C34 +
I4 +
A45 +
I33 -
T16 -
R8 -
P2 +
N25 +
I25 +
W12 +
D46 +
S26 +
U22 -
R50 +
K37 +
Q21 -
C17 -
K25 -
P17 -
P30 -
F51 +
T6 -
S50 -
O42 +
N5 -
K2 -
I55 -
J45 +
A49 -
V4 -
V46 -
T36 +
U3 +
N42 -
C24 -
B36 +
V17 +
E13 +
T17 +
H41 -
O31 -
C25 -
M32 +
O49 -
C16 +
H13 +
S22 +
O36 -
W20 -
O5 -
T4 -
7
H45
H37
Q28
I1
D32
N1
P10
1 6
5
A6 +
A5 -
A3 +
A4 +
A2 +
1
A1
6 41
108
C27 -
F11 -
A10 -
C19 -
A6 +
E8 -
B15 +
E1 -
D29 -
A31 +
A30 -
B32 +
A33 +
B26 +
C32 +
B20 -
F18 -
C8 -
A34 +
D39 +
B24 -
D18 +
E5 -
F27 +
F13 -
E3 -
A25 +
E7 +
C28 -
E20 -
A15 +
D9 -
A41 +
A37 +
B17 +
A8 -
B10 +
D26 +
B14 -
F35 +
A5 -
F19 -
D20 +
E29 -
F10 -
F32 -
D4 +
B16 +
E21 +
D30 -
D33 -
C40 +
E11 +
E9 +
B30 -
D40 +
F21 -
B34 -
A4 -
C22 +
B31 +
B33 -
B5 +
D37 +
B18 -
A39 +
B38 +
A20 -
A9 -
F39 +
F16 -
B11 +
F30 +
D31 +
F40 -
C29 -
A26 -
D24 +
F26 -
F33 -
D27 +
A3 -
D32 -
E36 +
E22 -
F24 -
B12 -
B23 -
B29 +
D10 +
E27 +
A2 +
D8 -
A14 -
F34 +
C26 -
E4 +
F9 +
F25 -
C9 +
D15 +
D38 +
B36 -
C4 -
A27 +
C5 -
B27 +
C38 -
81
F1
D23
A11
D14
B8
A40
F17
F8
E14
B35
D17
D1
A18
D36
F3
B1
F31
F4
D11
E28
C36
E40
B3
F20
D19
A12
C33
E13
D22
B2
E2
E26
B41
B37
D5
D21
A29
E41
F36
F22
B22
E15
E19
F38
E33
C34
C13
E32
E10
F41
E34
E23
B40
E18
A21
E24
C37
D34
C7
B4
C21
B7
A22
B21
C11
A1
D12
F6
E6
F28
C35
A13
E39
D3
C25
F29
C31
D28
F37
C2
C1
14 55
424
K22 -
N41 -
H1 +
D31 +
M46 -
G41 +
A33 +
L25 +
H18 +
G5 -
J19 +
A29 -
M11 +
J35 +
I52 +
E15 -
D38 -
E39 +
C22 -
F24 -
N42 +
N12 +
I25 -
H39 +
K19 +
I17 +
H9 -
N38 +
K54 +
J14 -
B37 +
F31 -
A45 +
C30 +
K28 -
I18 -
F1 +
B23 +
A4 +
G13 +
G8 +
F23 +
F29 -
G31 +
M38 +
E18 +
H23 +
M25 -
J54 -
C46 -
C26 -
N46 -
G11 +
I38 +
A47 +
I34 +
E32 -
J34 +
G7 +
B3 -
A44 +
I28 -
J50 -
G30 -
M9 +
L39 -
C20 +
N10 -
G40 +
E3 -
E53 +
H7 -
M4 -
H14 +
L13 +
A15 -
D17 +
K55 +
E7 +
G36 -
I46 -
M47 +
K26 -
C52 +
K29 -
E34 +
N15 +
C37 +
L40 -
I27 +
A34 -
C29 -
I26 -
A54 -
G28 +
B38 +
C9 -
F42 +
G23 +
F4 -
A52 -
F21 +
J31 +
G32 +
N11 -
B26 +
I44 +
K39 +
A3 +
N28 +
K42 +
K34 +
M1 +
M6 +
K9 +
E46 +
C24 -
M36 -
L26 -
B5 -
B44 +
E17 +
H19 -
A24 -
C32 +
E13 -
D13 +
B27 +
I30 -
H32 +
H5 +
I42 -
D22 -
H11 +
I31 -
M50 +
I39 -
C33 +
J42 +
D44 +
J17 -
I23 +
L47 -
J43 -
D7 -
D28 +
D23 -
M51 +
D10 -
A37 +
D49 -
D47 -
H15 -
H46 -
A19 -
E40 +
B54 +
B49 -
C14 -
J32 +
J6 -
L42 -
B41 -
B48 -
D53 +
L2 -
N39 +
E43 +
G38 +
I21 -
N2 +
J28 -
J22 +
F16 +
L6 +
I13 -
H16 +
K40 -
L34 +
M16 -
M23 +
N51 +
F53 -
G27 -
I3 +
B10 -
L43 +
L8 -
E16 +
C55 +
E35 +
D45 +
J39 -
J46 +
A42 +
G49 -
E4 +
